source,row_count,unique_bus_names,duplicate_bus_names,lat_lon_coverage,duplicate_coordinates,kv_distribution
dayzer,10799,10558,241,0.9369386054264284,3985,"{0.48: 1, 1.0: 394, 2.4: 1, 4.0: 2, 4.16: 2, 4.2: 1, 6.9: 12, 11.5: 1, 12.0: 6, 12.4: 5, 12.47: 47, 12.5: 16, 13.0: 11, 13.09: 5, 13.1: 2, 13.2: 59, 13.5: 4, 13.8: 493, 13.9: 1, 14.0: 1, 14.4: 33, 14.5: 1, 15.0: 5, 16.0: 11, 16.5: 2, 17.5: 4, 17.94: 2, 18.0: 122, 18.1: 12, 19.0: 5, 19.5: 3, 20.0: 17, 20.9: 1, 21.0: 11, 21.6: 4, 22.0: 17, 23.0: 48, 23.5: 6, 24.0: 16, 24.5: 1, 24.9: 9, 25.0: 8, 26.0: 2, 28.0: 1, 31.0: 1, 34.5: 1411, 36.0: 2, 38.0: 6, 69.0: 1636, 115.0: 17, 125.0: 1, 138.0: 5414, 230.0: 5, 345.0: 901}"
pano,10233,10233,0,1.0,0,"{0.48: 1, 1.0: 389, 2.4: 1, 4.0: 2, 4.16: 2, 4.2: 1, 6.9: 12, 11.5: 1, 12.0: 6, 12.4: 5, 12.47: 34, 12.5: 16, 12.57: 4, 12.67: 2, 12.77: 2, 13.0: 11, 13.09: 3, 13.1: 2, 13.2: 58, 13.3: 1, 13.5: 4, 13.8: 472, 13.9: 2, 14.0: 1, 14.4: 22, 14.5: 5, 14.6: 2, 15.0: 5, 16.0: 11, 16.5: 2, 17.5: 4, 17.94: 2, 18.0: 121, 18.1: 12, 19.0: 5, 19.5: 2, 20.0: 19, 20.9: 1, 21.0: 11, 21.6: 2, 22.0: 17, 23.0: 48, 23.5: 6, 24.0: 16, 24.5: 1, 24.9: 5, 25.0: 8, 26.0: 2, 28.0: 1, 31.0: 2, 34.5: 715, 34.6: 17, 36.0: 2, 38.0: 5, 69.0: 1727, 69.1: 12, 69.2: 1, 69.3: 1, 115.0: 19, 125.0: 1, 138.0: 5091, 138.1: 287, 138.2: 27, 138.3: 6, 138.4: 1, 230.0: 4, 230.1: 1, 345.0: 904, 345.1: 46, 345.2: 2}"
