review_bucket,dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
low_unmatched,L_CANYON8_1Y,,1_3627,,138.0,138.0,2.049968155688337,0.18846153846153846,1.0,0.5515151515151515,0.6781922909743343,0.4882984495015207,0.0,0,0.0,0.02538355361383049,one_to_one_conflict,-1,False,True,ambiguous,True,0.035254935574764557,3,2,0.6666666666666666,0.09090909090909091
low_unmatched,OBRIEN73T3_8,,1_6390,,138.0,138.0,2.2481359080411876,0.2011363636363636,1.0,0.5333333333333333,0.6750549490872009,0.4860395633427846,0.0,0,0.0,0.02548167802470286,one_to_one_conflict,-1,False,True,ambiguous,True,0.03539121947875401,2,3,0.6666666666666666,0.0
low_unmatched,OYSCRK_C82B8,,1_6295,,138.0,138.0,3.5941969219199676,0.23461538461538461,1.0,0.5666666666666667,0.6726409605335231,0.4843014915841366,0.0,0,0.0,0.0026803126391337084,one_to_one_conflict,-1,False,True,ambiguous,True,0.0037226564432412124,2,2,0.3333333333333333,0.0
low_unmatched,L_GRAPMI8_1Y,,1_3558,,138.0,138.0,14.018180985961857,0.41923076923076924,1.0,0.8,0.6636479188244372,0.47782650155359474,0.0,0,0.0,0.008293347527609518,one_to_one_conflict,-1,False,True,ambiguous,True,0.011518538232791031,2,2,1.0,0.0
low_unmatched,BURWICK_5,,1_844,,345.0,345.0,0.8177714050185507,0.144,1.0,0.38750000000000007,0.6514808268278075,0.4690661953160214,0.0,0,0.0,0.11001155777561727,one_to_one_conflict,-1,False,True,ambiguous,True,0.15279383024391285,3,2,0.25,0.0
low_unmatched,BRAND_8,,1_758,,138.0,138.0,3.7832025295161005,0.18,1.0,0.5333333333333333,0.6499628566978336,0.4679732568224402,0.0,0,0.0,0.004857563193041314,one_to_one_conflict,-1,False,True,ambiguous,True,0.006746615545890733,3,2,0.6666666666666666,0.0
low_unmatched,CASTLGAP4A,,1_3347,,138.0,138.0,7.850478243245705,0.10909090909090909,1.0,0.8,0.6398777863955247,0.4607120062047778,0.0,0,0.0,0.036466169851526176,one_to_one_conflict,-1,False,True,ambiguous,True,0.05064745812711968,1,1,1.0,0.0
low_unmatched,MOCKNGBRD_T8,,1_4766,,138.0,138.0,3.530927239467846,0.144,1.0,0.48,0.6334479758519499,0.4560825426134039,0.0,0,0.0,0.0004147300144800581,one_to_one_conflict,-1,False,True,ambiguous,True,0.0005760139090000838,3,5,0.6,0.0
low_unmatched,CMYNHM_9,,1_987,,69.0,69.0,16.06804050077449,0.3,1.0,0.8,0.6193408799001601,0.44592543352811526,0.0,0,0.0,0.01541902107094234,unmatched,-1,False,False,ambiguous,True,0.02141530704297545,1,1,1.0,0.0
low_unmatched,ANDRCOSO_8,,1_653,,138.0,138.0,8.878739779039444,0.2608695652173913,1.0,0.32666666666666666,0.5730024770904475,0.4125617835051222,0.0,0,0.0,0.030506100843812056,unmatched,-1,False,False,ambiguous,True,0.04236958450529449,8,3,0.375,0.13333333333333333
low_unmatched,TIKIS_63TP_8,,1_6805,,138.0,138.0,,0.144,1.0,0.625,0.411,0.29591999999999996,0.0,0,0.0,0.008154782608695565,unmatched,-1,False,False,ambiguous,True,0.011326086956521653,3,3,0.5,0.0
low_unmatched,PEANUT1_8,,1_5179,,69.0,12.77,,0.31249999999999994,0.65,0.8,0.400625,0.28845,0.0,0,0.0,0.02939999999999998,unmatched,-1,False,False,ambiguous,True,0.04083333333333333,2,2,1.0,0.0
