variant,matched_buses,unmatched_count,duplicate_pano_assignments,exact_voltage_match_rate,voltage_conflict_rate_gt_1kv,median_distance_km,p90_distance_km,ambiguity_count,ambiguity_rate
A_pure_latlon_nearest,10799,0,7102,0.5415316232984536,0.4219835169923141,1.8364633620381792,6.42841017131151,9306,0.8617464580053709
B_name_kv_only,10799,0,4220,0.9760162978053524,0.02250208352625243,7.420158274487415,17.274767174517862,8228,0.7619224002222428
C_name_kv_latlon,10799,0,5111,0.972404852301139,0.026761737197888692,2.7088296128336844,10.355149374076497,9653,0.8938790628761922
D_graph_aware_no_propagation,6285,4514,0,0.9894988066825776,0.0038186157517899762,3.4021398725573286,12.255094469131455,7963,0.737383091026947
E_full_graph_aware_final,5982,4817,0,0.9876295553326646,0.0018388498829822802,3.4938109523118133,12.275836538470047,8049,0.7453467913695713
