dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
TOKEN_P8,,1_1369,,138.0,138.0,,0.1714285714285714,1.0,0.8,0.4528571428571429,ambiguous,True,0.0,2,2,1.0,0.0
TEAL_88,TEASW_345KV_1,1_5618,1_2492,345.0,345.0,15.006526602637363,0.24,1.0,0.0,0.451663729135093,ambiguous,True,0.00021353664786910587,0,2,0.0,0.0
JUMANO1_8,,1_4610,,138.0,138.0,,0.3525,1.0,0.5666666666666667,0.45145833333333335,ambiguous,True,0.00782608695652176,2,2,0.3333333333333333,0.0
DOLRHIDE2_8,,1_5252,,138.0,138.0,,0.3525,1.0,0.5666666666666667,0.45145833333333335,ambiguous,True,0.02772727272727271,2,2,0.3333333333333333,0.0
SAND_TXU_8,,1_5123,,138.0,138.0,18.45168440752744,0.23076923076923078,1.0,0.1218181818181818,0.45130309693791426,ambiguous,True,0.013139570974320669,10,2,0.09090909090909091,0.0
PRANCH4A,,1_7643,,138.0,138.0,22.747594391932694,0.09999999999999999,1.0,0.4,0.4511974408627566,ambiguous,True,0.031341950805897245,1,2,0.5,0.0
WACOATCO2_8,,1_2499,,138.0,138.0,,0.15,1.0,0.8181818181818182,0.45113636363636367,ambiguous,True,0.0077992424242424585,3,3,1.0,0.09090909090909091
BADERSUB8,,1_2854,,138.0,138.0,,0.1636363636363636,1.0,0.8,0.4509090909090909,ambiguous,True,0.0,2,2,1.0,0.0
ELMDALE4A,,1_2969,,138.0,138.0,,0.1636363636363636,1.0,0.8,0.4509090909090909,ambiguous,True,0.027272727272727282,2,2,1.0,0.0
AUTUMN_T8,,1_4986,,138.0,138.0,,0.1636363636363636,1.0,0.8,0.4509090909090909,ambiguous,True,0.03500000000000003,3,3,1.0,0.0
