review_bucket,dayzer_bus,pano_bus,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,match_stage,confidence_label,ambiguity_flag,latlon_baseline_pano_bus,graph_aware_pano_bus,review_label,review_notes
high_confidence,HARDYSW,HARDYSW_138KV_1,138.0,138.0,8.65659693932918,0.4651515151515151,1.0,0.8666666666666667,0.7342224688399732,0.9086401775647808,propagated,high,False,HARDYSW_138KV_1,HARDYSW_138KV_1,,
high_confidence,N_DENT_8,N_DENT_138KV_1,138.0,138.0,3.6270061692277378,0.5363636363636364,1.0,0.8,0.7943338391276508,0.9019203641719086,propagated,high,False,LOCUST_D_138KV_1,N_DENT_138KV_1,,
high_confidence,CARVER2A,CARVER_69KV_1,69.0,69.0,5.589364034199159,0.3428571428571428,1.0,0.8,0.7225700175685063,0.9002504126493245,propagated,high,False,SONR_69KV_1,CARVER_69KV_1,,
high_confidence,JCKCNTY5,JCKCNTY2_345KV_1,345.0,345.0,0.8952660766729512,0.3999999999999999,1.0,0.4181818181818182,0.7205035005025998,0.8987625203618719,propagated,high,False,JCKCNTY2_18KV_2,JCKCNTY2_345KV_1,,
high_confidence,OZONA2A,OZONA_69KV_1,69.0,69.0,0.1199742807826619,0.3157894736842105,1.0,0.8,0.7871531411179407,0.8967502616049173,propagated,high,False,OZONA_69KV_1,OZONA_69KV_1,,
high_confidence,BROOKHTP4A,BROOKTAP_138KV_1,138.0,138.0,5.9181405553660635,0.323076923076923,1.0,0.8,0.7139262056128183,0.8940268680412291,propagated,high,False,BROOKHOL_69KV_2,BROOKTAP_138KV_1,,
high_confidence,W_DENT_T1,W_DENT_12KV_2,12.4,12.4,7.222094740210467,0.5363636363636364,1.0,0.95,0.7831627099287842,0.8938771511487247,top_ranked_unpropagated,high,False,POCKRUSC_138KV_1,W_DENT_12KV_2,,
high_confidence,ARGYLE1_8,ARGYL_138KV_1,138.0,138.0,3.0175427914092334,0.4318181818181817,1.0,0.8,0.7759405493765348,0.8886771955511051,top_ranked_unpropagated,high,False,LWSVH_138KV_1,ARGYL_138KV_1,,
high_confidence,S_LANE__B138,LC_138KV_1,138.0,138.0,6.636081870766787,0.3035714285714285,1.0,0.8166666666666668,0.7045145595841089,0.8872504829005584,propagated,high,False,LAN_CTY_138KV_2,LC_138KV_1,,
high_confidence,PATTSNST,PATTSNST_138KV_1,138.0,138.0,11.137431874014313,0.4833333333333333,1.0,0.8,0.7027329841303006,0.8859677485738164,propagated,high,False,JOHNSON_69KV_1,PATTSNST_138KV_1,,
high_confidence,CRESLENN1_1,CRESW_1KV_1,1.0,1.0,5.968054928470665,0.5397727272727272,1.0,0.8,0.7675439140378724,0.8826316181072682,top_ranked_unpropagated,high,False,KERNS_138KV_1,CRESW_1KV_1,,
high_confidence,MELNCRK4A,MELONCRE_138KV_1,138.0,138.0,7.765344571815502,0.336,1.0,0.8,0.6974693228931752,0.8821779124830861,top_ranked_unpropagated,high,False,MELONCRE_138KV_1,MELONCRE_138KV_1,,
high_confidence,CHAMPI_UNIT1,CHAMPION_34KV_1,34.5,34.5,5.451194168703817,0.4305555555555555,1.0,0.9,0.7660672781325828,0.8815684402554597,propagated,high,False,CHAMPION_345KV_1,CHAMPION_34KV_1,,
high_confidence,TNCADDO___1,CADDOTN_138KV_1,138.0,138.0,13.609762940357594,0.4875,1.0,0.8400000000000001,0.6917859247425969,0.8780858658146699,propagated,high,False,TNPRXAIR_69KV_1,CADDOTN_138KV_1,,
high_confidence,DESSW1_3,DESSW_13KV_1,13.8,13.8,5.974609572953399,0.47,1.0,0.8500000000000001,0.7600277907399154,0.8772200093327391,propagated,high,False,PADRA_138KV_1,DESSW_13KV_1,,
high_confidence,HINDES4A,HINDES_138KV_1,138.0,138.0,8.58328789488744,0.3272727272727272,1.0,0.8,0.6871340490310174,0.8747365153023324,propagated,high,False,HINDES_138KV_1,HINDES_138KV_1,,
high_confidence,CHAMPION_8,CHAMP_138KV_1,138.0,138.0,3.805412814450619,0.3652173913043478,1.0,0.8,0.7493249544487889,0.869513967203128,propagated,high,False,KLPOD_138KV_1,CHAMP_138KV_1,,
high_confidence,L_DESEME8_1Y,DESEME_138KV_1,138.0,138.0,2.13785467722846,0.4192307692307692,1.0,0.62,0.7483943101694144,0.8688439033219784,top_ranked_unpropagated,high,False,DESEME_138KV_2,DESEME_138KV_1,,
high_confidence,VISTRON_TG2,VISTRON_13KV_1,13.8,13.8,0.3713151278411671,0.4465,1.0,0.44,0.7441066576895314,0.8657567935364627,propagated,high,False,VISTRON_13KV_1,VISTRON_13KV_1,,
high_confidence,WCRSTLCTYSB9,WCRYSTS_69KV_1,69.0,69.0,3.4344172284180106,0.323076923076923,1.0,0.8,0.7434335012225491,0.8652721208802354,top_ranked_unpropagated,high,False,CRSTLSW_69KV_1,WCRYSTS_69KV_1,,
high_confidence,LAKEKEMPSW,LKKEMPSW_69KV_1,69.0,69.0,15.42814885560211,0.384,1.0,0.92,0.6687085586858738,0.8614701622538291,propagated,high,False,AJAXWIND_34KV_2,LKKEMPSW_69KV_1,,
high_confidence,SKYLIN1_8,SKYLINE_138KV_2,138.0,138.0,11.251297038368303,0.3999999999999999,1.0,0.71,0.6629237623259464,0.8573051088746814,propagated,high,False,A0_138KV_1,SKYLINE_138KV_2,,
high_confidence,MDLTHELP_S5,MDANP_345KV_1,345.0,345.0,0.2577036185882892,0.25,1.0,0.6124999999999999,0.7311592432830243,0.8564346551637776,propagated,high,False,MDANP_21KV_5,MDANP_345KV_1,,
high_confidence,BRYN_KURTEN,KURTEN_138KV_1,138.0,138.0,14.103869345309937,0.3505,1.0,0.8444444444444444,0.6547177857892782,0.8513968057682803,propagated,high,False,SUT_69KV_1,KURTEN_138KV_1,,
medium_confidence,FORMOSA4A,FORMOSA_138KV_1,138.0,138.2,1.0438436081239868,0.35,0.65,0.8222222222222223,0.6991883770340789,0.8834156314645368,propagated,medium,False,FORMOSA_13KV_7,FORMOSA_138KV_1,,
medium_confidence,PLACEDO2A,PLACEDO_69KV_1,69.0,69.0,0.0064001005991036,0.3652173913043478,1.0,0.4,0.7212083616759448,0.8492700204066803,propagated,medium,False,PLACEDO_69KV_1,PLACEDO_69KV_1,,
medium_confidence,TYLRWD_UNIT1,TYLRWIND_34KV_1,34.5,34.5,1.7669755322279794,0.4305555555555555,1.0,0.4333333333333333,0.7189380164876571,0.8476353718711132,propagated,medium,False,TYLRWIND_34KV_1,TYLRWIND_34KV_1,,
medium_confidence,BONDROAD2A,BONDROAD_69KV_1,69.0,69.0,6.8983629912425215,0.384,1.0,0.8,0.7184834971958799,0.8473081179810336,propagated,medium,False,BONDROAD_69KV_1,BONDROAD_69KV_1,,
medium_confidence,L_MEVISW8_1Y,MEVISW_138KV_1,138.0,138.0,7.881588838197999,0.4192307692307692,1.0,0.8,0.7170978382259346,0.846310443522673,propagated,medium,False,MESAVIEW_138KV_1,MEVISW_138KV_1,,
medium_confidence,NEWGLF60TP_8,NEW_138KV_1,138.0,138.0,4.505983035941451,0.2608695652173913,1.0,0.8,0.7147006043816398,0.8445844351547808,propagated,medium,False,MAG_34KV_1,NEW_138KV_1,,
medium_confidence,LONG_HLLW_5,LONSW_345KV_1,345.0,345.0,13.73883423910336,0.3,1.0,0.8444444444444444,0.6448226032509101,0.8442722743406553,propagated,medium,False,BRYSNTN_69KV_1,LONSW_345KV_1,,
medium_confidence,WARBURTONSW9,WARBURTN_69KV_1,69.0,69.0,16.457507331704946,0.3999999999999999,1.0,0.8,0.6417501212956251,0.8420600873328501,propagated,medium,False,ORIANA_34KV_1,WARBURTN_69KV_1,,
medium_confidence,SHELDN_POI_5,SDN_345KV_1,345.0,345.0,13.448198554869176,0.2608695652173913,1.0,0.8666666666666667,0.6416937891877637,0.8420195282151898,propagated,medium,False,PAT_138KV_1,SDN_345KV_1,,
medium_confidence,WINKLER,WINKLER_138KV_1,138.0,138.0,9.751208197404068,0.4651515151515151,1.0,0.8,0.7105247115956642,0.8415777923488783,propagated,medium,False,NATHENRC_138KV_1,WINKLER_138KV_1,,
medium_confidence,COYOTE_5,COYOTE_W_345KV_1,345.0,345.0,10.215945278193262,0.4499999999999999,1.0,0.8400000000000001,0.7105051048465251,0.8415636754894981,propagated,medium,False,DERMOTT_34KV_2,COYOTE_W_345KV_1,,
medium_confidence,SALEM,SALEM11_138KV_1,138.0,138.0,6.435180334421176,0.3,1.0,0.8400000000000001,0.7104618554561257,0.8415325359284106,propagated,medium,False,GTP69_69KV_1,SALEM11_138KV_1,,
medium_confidence,BAEZ2A,BAEZ_69KV_1,69.0,69.0,12.551663793846576,0.2823529411764706,1.0,0.8,0.6407523946067423,0.8413417241168545,propagated,medium,False,RAPTOR_345KV_1,BAEZ_69KV_1,,
medium_confidence,BEEVLLE2A,BEEVILLE_69KV_1,69.0,69.0,0.4956738722547962,0.35,1.0,0.4,0.7101562701830386,0.8413125145317879,top_ranked_unpropagated,medium,False,BEEVILLE_69KV_1,BEEVILLE_69KV_1,,
medium_confidence,CHILSW_1T8,CDHSW_138KV_1,138.0,138.0,0.0448627136973973,0.4152173913043478,1.0,0.2799999999999999,0.7091321613052628,0.8405751561397893,propagated,medium,False,CDHSW_13KV_1,CDHSW_138KV_1,,
medium_confidence,TIEMPO7A,TIEMPO_345KV_1,345.0,345.0,6.654846036902457,0.3272727272727272,1.0,0.8,0.706904660312384,0.8389713554249165,propagated,medium,False,S_YGNACI_138KV_1,TIEMPO_345KV_1,,
medium_confidence,KRUM_T8,KRMSW_138KV_1,138.0,138.0,6.1691788348603875,0.3,1.0,0.8,0.7053734336230724,0.8378688722086122,propagated,medium,False,W_DENT_345KV_1,KRMSW_138KV_1,,
medium_confidence,VENUS_N5,VENSW_345KV_2,345.0,345.0,8.001410925291845,0.3428571428571428,1.0,0.8272727272727273,0.7022506589073174,0.8366204744132685,propagated,medium,False,MDANP_21KV_6,VENSW_345KV_2,,
medium_confidence,JKCREEK3,JK_CK_12KV_1,12.5,12.5,5.715441810150724,0.24,1.0,0.8400000000000001,0.7034301566023583,0.8364697127536981,propagated,medium,False,JK_CK_138KV_1,JK_CK_12KV_1,,
