market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
945 CRET 345 KV CRETEIPP-STJOHNS,STILLWEL_345 KV_. 1:Wilton Ctr - Dumont 765 kV,Crete-StJohns 345 kV l/o Dumont-Wilton Ctr 765 kV,high,low,0.8408,0.4,False,True
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,4 QUAD C_345 KV_TR1 18:ACTUAL,4 QUAD C345 KV  0403,medium,medium,0.5024,0.4667,True,False
PLEASNTV-ASHBURN 274D A 230 KV,PLEASNTV_230 KV_274D:L230.GooseCreek-Ashburn-Beaumeade.227,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D),high,medium,0.8952,0.4833,False,True
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB),low,low,0.4308,0.27,False,True
CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,CONASTON230 KV  CNS-NOR2,high,medium,0.7694,0.4833,True,True
74 KEWAN B1Z1 DIS              138 KV,74 KEWAN_138 KV_L9430:ACTUAL,74 KEWAN B1Z5 DIS              138 KV,high,low,0.8083,0.3167,False,True
4 QUAD C345 KV  TR2 18,4 QUAD C_345 KV_TR2 18:ACTUAL,4 QUAD C345 KV  0403,medium,medium,0.63,0.5633,True,False
FACEROCK69 KV   FAROZBR,FACEROCK_69 KV_FAROZBR:500/230.Conastone.500-4,FACEROCK69 KV   FAROZBR,high,low,0.9667,0.35,True,True
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B),high,low,0.8321,0.3722,False,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:ACTUAL,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),high,medium,0.8833,0.5056,True,True
BENTONHA138 KV  BEN-WES1,BENTONHA_138 KV_BEN-WES1:ACTUAL,BENTONHA138 KV  BEN-RIV2,medium,medium,0.55,0.4757,True,False
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,MUNSTER2_345 KV_A:L765.Dumont-Wilton Center.11215,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,medium,low,0.65,0.4357,False,True
CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,CONASTON230 KV  CNS-NOR2,high,medium,0.7644,0.4833,True,True
GRACETON_230KVGRA-MANO_1_LN,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO),medium,low,0.4722,0.25,False,True
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA_230 KV_4 TX:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),high,low,0.7071,0.42,False,True
CEDARCRE230 KV  CED-SIL,CEDARCRE_230 KV_CED-SIL:ACTUAL,CEDARCRE230 KV  CED-RED,high,medium,0.7778,0.4607,True,False
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,LINVFT_230 KV_LIN-VFT1:ACTUAL,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1),medium,medium,0.6712,0.5167,False,False
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,medium,low,0.5833,0.3333,True,True
