market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
HANOVER_69KVHAN-PLY_1_LN,HANOVER_69 KV_HAN-PLY:ACTUAL,HANOVER 69KV - PLYM UGI 69KV (HANOVER 69 KV HAN-PLY),medium,low,0.4722,0.25,False,True
SWLIMA  138 KV  SWL-WMO1,SWLIMA_138 KV_SWL-WMO1:ACTUAL,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1),medium,medium,0.5917,0.6119,True,False
SUB_71 - SUB_88 161KV L/O CORDOVA - SUB_39 345KV,DAVNPRT6_161 KV_62211622:Cordova-Sub 39(39-QC-1)345 Line,SB 71  6 161KV - SB 88  6 161KV (SB 71  6 161 KV 62230622),medium,low,0.5429,0.3722,True,True
DESOTO  138 KV  DES-MOD,DESOTO_138 KV_DES-MOD:138/69.Jay.T1,DESOTO 138KV - MODOC 138KV (DESOTO 138 KV DES-MOD),high,medium,0.8417,0.55,False,True
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,SEWARD_115 KV_SEW-TOW:ACTUAL,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW),medium,medium,0.63,0.5333,True,False
CRESCNT 138 KV  08C-WEN1,CRESCNT_138 KV_08C-WEN1:ACTUAL,CRESCNT 138 KV  08C-WEN1,high,medium,0.7167,0.6186,False,False
CEDARGRO 230 KV CEDARGRO-CLIF PS K-2263-3,CEDARGRO_230 KV_CED-CLIK:ACTUAL,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIK),medium,medium,0.6203,0.4627,True,True
PLYMOUTH 230 KV PLYMOUTH-WHITPAIN 220-14,PLYMOUTH_230 KV_PLY-WHI4:WHITPAIN-PLYMOUTH MEETING 220-15,WHITPAIN 230KV - PLYMOUTH 230KV (PLYMOUTH 230 KV PLY-WHI4),high,medium,0.8727,0.59,False,False
120_LOMB_T9_345TR82CT-P_XF,120 LOMB_345 KV_TR82CT-P:ACTUAL,120 LOMB 345KV - 120 LOMB 1KV (120 LOMB 345 KV TR84CT-P),low,low,0.2,0.3222,True,True
DICKERSH230 KV  DIC-DOU2,DICKERSH_230 KV_DIC-DOU2:230/35.Aqueduct.T1,DOUBS 230KV - DICKERSH 230KV (DICKERSH 230 KV DIC-DOU2),high,low,0.7167,0.4,False,True
DARLEYRD 69 KV DARLEYRD-NAAMANS 6835,DARLEYRD_69 KV_DAR-NAA:ACTUAL,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA),high,medium,0.8769,0.5033,False,True
BAYSHORE TR1 345/138 KV L/O FOSTORIACENTRAL-LALLENDORF 345 KV,ALLENJUN_138 KV_ALL-ALLE:L345.Bayshore-Lallendorf.1,BAYSHOR2 4.2KV - BAYSHOR2 138KV (BAYSHOR2 138 KV TR02),low,low,0.44,0.3318,True,True
WESTRAVE138 KV  WES-YUK,WESTRAVE_138 KV_WES-YUK:L138.Charleroi-Belmon-SheplerJCT-Mitchell-Yukon,YUKON 138KV - WESTRAVE 138KV (WESTRAVE 138 KV WES-YUK),high,low,0.7071,0.3367,False,True
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,HARWOOD_230 KV_HAR-SUS2:ACTUAL,HARWOOD -SUSQUEHA HAR-SUS2  A  230 KV,high,medium,0.7227,0.5536,True,True
NRTHNECK115 KV  TX2A,NRTHNECK_115 KV_TX2A:ACTUAL,NRTHNECK115 KV  TX4,low,low,0.44,0.4167,False,False
GREENE  345 KV  BK-S,GREENE_345 KV_BK-N:345/138.Greene.BK-S,GREENE 345KV - GREENE 138KV (GREENE 345 KV BK-S),high,medium,0.875,0.6286,False,True
BENTON HARBOR-CHRYSTAL 138 KV FOR L/O COOK-BENTON HARBOR 345 KV,NEWCARLI_138 KV_NEW-OLI1:Cook-Palisades and Cook-Benton Harbor 345 kV,Benton Harbor-Palisades 345 kV l/o Cook-Palisades 345 kV,medium,low,0.4652,0.3808,True,False
CRESCENT-NORTH Z-21         A  138 KV,ARSENAL_138 KV_ARS-HIG8:CRESCENT - NORTH Z-21 138 KV LINE (DUQ),CRES DUQ 138KV - NORTH 138KV (CRES DUQ 138 KV CRE-NOR),medium,medium,0.5683,0.5333,False,False
37_NATOM_138KV3707_1_LN,37 NATOM_138 KV_3705:ACTUAL,0704_07013807043_1_LN,low,low,0.25,0.2667,True,True
MEADOWBR-STRASBUR MST A 138 KV,MEADOWBR_138 KV_MEA-WWI:ACTUAL,MEADOWBR-STRASBUR MST       A  138 KV,high,low,0.7949,0.35,True,False
HOPEWEL4 230 KV HOPEWEL4-CHESTER4 211A,HOPEWEL4_230 KV_211A:ACTUAL,HOPEWEL4 230KV - CHESTER4 230KV (HOPEWEL4 230 KV 211A),high,low,0.815,0.4357,False,False
BERGEN  230 KV  BER-SADC,BERGEN_230 KV_BER-SADC:ACTUAL,SADDLEBR 230KV - BERGEN 230KV (BERGEN 230 KV BER-SADC),medium,medium,0.5917,0.6286,True,False
HANOVER 69 KV   HAN-PAR,HANOVER_69 KV_HAN-PAR:ACTUAL,PARRISPL 69KV - HANOVER 69KV (HANOVER 69 KV HAN-PAR),high,medium,0.8519,0.6008,False,False
WEFOSTOR 138 KV WEFOSTOR-02WOODVJ TIE,177 BURN_138 KV_17714 1:L345.Burnham-Sheffield.17705 TIE,WEFOSTOR-02WOODVJ TIE       A  138 KV,high,low,0.9667,0.3036,False,True
GARDNERS_115KVGAR-TEX_1_LN,GARDNERS_115 KV_GAR-TEX:ACTUAL,GARDNERS-TEXSEAST GAR-TEX   A  115 KV,low,low,0.25,0.3,True,True
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,ALLLUD4J_138 KV_ALJ-ALL:ACTUAL,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL),high,medium,0.8667,0.5083,True,True
GREYSPT 115 KV  GRE-HARM,GREYSPT_115 KV_GRE-HARM:ACTUAL,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM),high,medium,0.8365,0.5986,False,False
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,NOTTINGHM 1-3 SER DEV       A  230 KV,medium,low,0.605,0.4258,True,False
BENTONHA138 KV  BEN-WES1,BENTONHA_138 KV_BEN-WES1:ACTUAL,BENTONHA 138KV - WESTSTRE 138KV (BENTONHA 138 KV BEN-WES1),medium,low,0.69,0.4357,False,False
DEERCREE138 KV  DEE-MIS,DEERCREE_138 KV_DEE-MIS:ACTUAL,DEERCREE 138KV - MISSISSI 138KV (DEERCREE 138 KV DEE-MIS),high,medium,0.7045,0.4607,False,False
CENTER  115 KV  CEN-ERD5,CENTER_115 KV_CEN-ERD5:ACTUAL,ERDMAN 115KV - CENTER 115KV (CENTER 115 KV CEN-ERD5),high,medium,0.835,0.5786,False,False
HANOVER 69 KV HAN-PLY,HANOVER_69 KV_HAN-PLY:ACTUAL,HANOVER 69KV - PLYM UGI 69KV (HANOVER 69 KV HAN-PLY),medium,medium,0.5667,0.6286,True,False
GRISTMIL345 KV  GRI-SHLB,GRISTMIL_345 KV_GRI-SHLB:ACTUAL,GRISTMIL 345KV - SHELBY 345KV (GRISTMIL 345 KV GRI-SHLB),medium,medium,0.4545,0.4929,False,False
KAMMER2 138 KV  TX4,KAMMER2_138 KV_TX4:345/138.Holloway.TR1,KAMMER2 138KV - KAMMER2 69KV (KAMMER2 138 KV TX4),high,medium,0.7833,0.4833,False,True
COLLEGEC_138KVCOL-COL6_1_LN,COLLEGEC_138 KV_COL-COL6:ACTUAL,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6),medium,low,0.4722,0.25,False,True
ASPENSLR_115KVASP-SHAD_1_LN,ASPENSLR_115 KV_ASP-SHAD:ACTUAL,SHADEGAP 115KV - ASPENSLR 115KV (ASPENSLR 115 KV ASP-SHAD),medium,low,0.4722,0.25,False,True
MIAMIFOR_138KVMIA-08G1_1_LN,MIAMIFOR_138 KV_MIA-08G1:ACTUAL,08GRDALE 138KV - MIAMIFOR 138KV (MIAMIFOR 138 KV MIA-08G1),medium,low,0.4722,0.25,False,True
CAPITOLH 138 KV CAPITOLH-CHEMICAL,CAPITOLH_138 KV_CAP-CHE1:345/138.KanawhaRiver.A,CHEMICAL 138KV - CAPITOLH 138KV (CAPITOLH 138 KV CAP-CHE1),high,medium,0.8727,0.4833,False,True
74 KEWAN-PUTN 7404 L/O L138.KEWANEEEAST-BUREAU(AMEREN),74 KEWAN_138 KV_KEW-PUTN:L138.KewaneeEast-Bureau (Ameren),74 KEWAN 138KV - PUTN 138KV (74 KEWAN 138 KV KEW-PUTN),medium,medium,0.4718,0.4571,True,False
MANOR   230 KV  MAN-WHE2,MANOR_230 KV_MAN-WHE2:500/230.Conastone.500-4,WHEMPFIE 230KV - MANOR 230KV (MANOR 230 KV MAN-WHE2),high,medium,0.8417,0.5786,False,False
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1,MIDDLJCT_115 KV_MID-YOR8:ACTUAL,MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR8),medium,medium,0.63,0.5119,True,False
CEDARSUB_230KVCED-WILF_1_LN,CEDARSUB_230 KV_CED-WILF:ACTUAL,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF),medium,low,0.4972,0.25,False,True
EASTERN REACTIVE TRANSFER INTERFACE,TRANSFER INTERFACE: EAST:L500.Keeney-RockSprings.5025,TRANSFER INTERFACE: EAST,low,low,0.435,0.3327,True,True
CLBHOUSE 230 KV CLBHOUSE TX1 XFORMER,CLBHOUSE_230 KV_TX1:ACTUAL,LAKEVIE4-CLBHOUSE 254A      B  230 KV,medium,low,0.6,0.4357,True,False
LAKE GEORGE - TOWER ROAD 138KV L/O DUNEACRE - BABCOCK 345KV,LAKEGEOR_138 KV_LAK-TOW1:Duneacre - Babcock 345kV,LAKEGEOR 138KV - TOWERRD 138KV (LAKEGEOR 138 KV LAK-TOW1),medium,low,0.4857,0.35,True,False
ALBRIGHT_138KVALB-GAR_1_LN,ALBRIGHT_138 KV_ALB-GAR:ACTUAL,GARRETT 138KV - ALBRIGHT 138KV (ALBRIGHT 138 KV ALB-GAR),low,low,0.2222,0.3,True,True
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,SHADEGAP_115 KV_SHA-THR:230/115.Lewistown.T3,ROXBURY 115 KV  ROX-SHA,high,low,0.8365,0.35,True,True
BURMA 115 KV BURMA-PINEY BA,BURMA_115 KV_BUR-PIN:ACTUAL,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN),high,medium,0.8714,0.5015,False,True
QUADCITIES - ROCKCREEK 345 KV L/O QUADCITIES-SUB91 345 + SUB91 345/161,4 QUAD C_345 KV_0405:L345.QuadCities-Sub91.0401,4 QUAD C 345KV - ROCK CRE 345KV (4 QUAD C 345 KV 0405),low,low,0.44,0.4286,True,True
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B),high,low,0.825,0.3722,False,True
NDELPHOS69 KV   NDE-SDE,NDELPHOS_69 KV_NDE-SDE:ACTUAL,SDELPHOS 69KV - NDELPHOS 69KV (NDELPHOS 69 KV NDE-SDE),high,medium,0.7,0.4579,False,False
HUNTERST 115 KV HUNTERST-LINCOLN 962,HUNTERST_115 KV_HUN-RILE:ACTUAL,HUNTERST115 KV  HUN-LIN,high,low,0.8295,0.3722,False,True
TWIN BRANCH - MERIDIAN 345KV L/O DUMONT - SORENSON 765 KV,Flowgate Dumont-Twin Branch 2 345kV l/o Cook U1 Cook.U1,MERIDIAN 345KV - SORENSON 345KV (MERIDIAN 345 KV MER-SOR1),high,medium,0.7045,0.4833,False,False
KLINE   138 KV  KLI-TWI1,KLINE_138 KV_KLI-TWI1:ACTUAL,TWINBRAN 138KV - KLINE 138KV (KLINE 138 KV KLI-TWI1),high,medium,0.835,0.5786,False,False
LEEAEP  138 KV  LEE-ROSE,LEEAEP_138 KV_LEE-ROSE:ACTUAL,LEEAEP 138KV - ROSEWOOD 138KV (LEEAEP 138 KV LEE-ROSE),medium,medium,0.5917,0.6286,False,False
OTTCRKPL230 KV  OTT-YOR,OTTCRKPL_230 KV_OTT-YOR:500/230.Conastone.500-4,YORKANA 230KV - OTTCRKPL 230KV (OTTCRKPL 230 KV OTT-YOR),high,medium,0.71,0.469,False,False
ASPENSLR_115KVASP-ROXB_1_LN,ASPENSLR_115 KV_ASP-ROXB:ACTUAL,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB),medium,low,0.4722,0.25,False,True
HOMERCIT345 KV  TR4_N,HOMERCIT_345 KV_TR4_N:ACTUAL,HOMERCIT345 KV  N.AUTO-P,medium,medium,0.4857,0.5024,True,False
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),high,medium,0.7045,0.4607,False,True
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,SIEGFRIE_230 KV_4:ACTUAL,SIEGFRIE 4        XFORMER   H  230 KV,medium,low,0.569,0.39,False,True
SPORNAEP-KYGERCRE TIE B 345 KV,SPORNAEP_345 KV_SPO-KYG1:ACTUAL,KYGERCRE 345KV - SPORNAEP 345KV (SPORNAEP 345 KV SPO-KYG1),high,low,0.8303,0.45,False,True
DICKERSH 230 KV DICKERSH-DICKERSO 23103,DICKERSH_230 KV_DIC-DIC3:ACTUAL,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC3),high,medium,0.8727,0.4833,False,True
SHAWVILL115 KV  BNK 1A-S,SHAWVILL_115 KV_BNK 1A-S:ACTUAL,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S),high,medium,0.7571,0.4833,True,True
138 SILV 345 KV 138 SILVER 45TR82 CT,138 SILV_345 KV_TR82CT-P:345L14401 Wayne-Silver Lake 345 kV Line,138 SILV 345KV - 138 SILV 1KV (138 SILV 345 KV TR82CT-P),high,low,0.7,0.4357,False,True
LABADIE - GRAYSUM 1 345 KV L/O MASON - WILDWOOD - LABADIE 345 KV,GRAYSUM3_345 KV_30648308:Labadie - Wildwood - Mason 345 kV,Enon-Montgomery 345 kV l/o Labadie-Mongomery 345 kV,low,medium,0.4333,0.4833,True,False
STATE LINE-ROXANA 138 KV L/O GARY AVE-SHEFFIELD 345 KV,7 STATE_138 KV_STA-17W1:Gary Ave 345/138 kV,STATE LINE-ROXANA 138 KV L/O SHEFFIELD-GARY AVE 345 KV+SHEFFIELD 345/138 KV,high,low,0.7136,0.4227,False,True
PETERS 138 KV PETERS-UNIONJCT UNNJ-PTR,PETERS_138 KV_PET-UNI:ACTUAL,UNIONJCT 138KV - PETERS 138KV (PETERS 138 KV PET-UNI),high,medium,0.8303,0.4667,False,True
CONASTON 230 KV CONASTON-OTTCRKPL,CONASTON_230 KV_CNS-OTT:500/230.Conastone.500-4,OTTCRKPL 230KV - CONASTON 230KV (CONASTON 230 KV CNS-OTT),high,medium,0.8769,0.5056,False,True
02LYONS_138KV02L-02F1_1_LN,02LYONS_138 KV_02L-02F1:ACTUAL,02FAYET 138KV - 02LYONS 138KV (02LYONS 138 KV 02L-02F1),medium,low,0.4722,0.25,False,True
N CHAMPAIGN - PERKINSRD 138 KV L/O RISING - SIDNEY 345 KV,RISING_138 KV_1642:Sidney-Rising 345 kV,Rantoul Jct-Sidney 138 KV l/o Rising-N Champaign-Mahomet 138 kV,medium,low,0.6155,0.4,True,False
ASHBURN 230 KV  227A,ASHBURN_230 KV_TX1:ACTUAL,ASHBURN 230 KV  227A,high,low,0.9571,0.35,False,True
REMNTNCT_230KV299A_1_LN,LORE 6_161 KV_LN 4361:345L17102,REMNTNCT 230KV - REMNTNCT 115KV (REMNTNCT 230 KV TX9),low,low,0.3929,0.1667,True,True
CLY     115 KV  CLY-YOR,CLY_115 KV_CLY-YOR:ACTUAL,YORKHAVE 115KV - CLY 115KV (CLY 115 KV CLY-YOR),high,medium,0.7879,0.5722,False,False
MILFORD 230 KV MILFORD-STEELE 23076,MILFORD_230 KV_MIL-STE:ACTUAL,STEELE 230KV - MILFORD 230KV (MILFORD 230 KV MIL-STE),high,medium,0.9278,0.5472,False,True
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,ETOWANDA_230 KV_4 TX:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),medium,low,0.6929,0.4182,False,True
MAHANSLA_138KVMAH-TID_1_LN,MAHANSLA_138 KV_MAH-TID:ACTUAL,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID),medium,low,0.45,0.25,True,True
LEROYCEN138 KV  SPR-04L1,LEROYCEN_138 KV_SPR-04L1:ACTUAL,LEROYCEN 138KV - SPRUCE 138KV (LEROYCEN 138 KV SPR-04L1),medium,low,0.6944,0.4357,False,False
ALLDAM6_138KVALL-KIT_1_LN,ALLDAM6_138 KV_ALL-KIT:ACTUAL,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),medium,low,0.4722,0.25,False,True
ASPENSLR_115KVASP-ROXB_1_LN,ASPENSLR_115 KV_ASP-ROXB:ACTUAL,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB),low,low,0.2222,0.3,True,True
AEP-DOM CONTINGENCY 61,AEP-DOM contingency 17 Amos.U1U2U3,AEP-DOM contingency 8,medium,low,0.6444,0.4194,True,True
EDGEWOOD 115 KV EDGEWOOD-SHELOCTA LSH 1036,EDGEWOOD_115 KV_EDG-SHE:ACTUAL,SHELOCTA 115KV - EDGEWOOD 115KV (EDGEWOOD 115 KV EDG-SHE),high,medium,0.8351,0.4682,False,True
BED-BLA CONTINGENCY 57,BED-BLA contingency 45 MtStorm.U2,TRANSFER INTERFACE: BED-BLA,medium,low,0.5857,0.4194,True,True
DUNEACRES-MICHIGANCITY 2 138 L/O WILTON CENTER-DUMONT 765,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,medium,low,0.5577,0.3,True,True
RICHLND 138 KV  TR-6,RICHLND_138 KV_TR-1:ACTUAL,RICHLND 138KV - RICHLND 13.8KV (RICHLND 138 KV TR-5),medium,medium,0.569,0.59,True,True
GOOSECRE TX1 XFORMER H 500 KV,GOOSECRE_500 KV_TX1:ACTUAL,LOUDOUN4 TX1      XFORMER   H  500 KV,high,low,0.725,0.4357,True,True
JUNIATA 500 KV JUNIATA 1 XFORMER,JUNIATA_500 KV_2:ACTUAL,JUNIATA  1        XFORMER   H  500 KV,high,low,0.7,0.4,True,True
KENT 69 KV KENT-VAUGHN 6784-1,KENT_69 KV_KEN-VAU:ACTUAL,KENT 69KV - VAUGHN 69KV (KENT 69 KV KEN-VAU),high,medium,0.9214,0.545,False,True
FREMNT_138KVFRE-FRE1_1_LN,FREMNT_138 KV_FRE-FRE1:ACTUAL,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1),medium,low,0.4722,0.25,False,True
SHEFFIELD_AMOCO138KV_13877_FLO_SHEFFIED_MARKTOWN138KV_13878,11 FISK_138 KV_TR75B 12:345/138.Sheffield.T2 (NIPS),Sheffield-Calumet 138 kV l/o Sheffield-Marktown 138 kV,medium,low,0.5111,0.29,False,True
BEDINGTO 500 KV BEDINGTO-BLACKOAK 500KV,BEDINGTO_500 KV_BED-BLA:Keystone-Juniata 500kV,BED-BLA contingency 21,medium,medium,0.5708,0.5033,False,False
51_MC_CO_138KV51171_1_LN,51 MC CO_138 KV_5118 1:ACTUAL,51 MC CO 138KV - 5118 138KV (51 MC CO 138 KV 5118 1),low,low,0.2857,0.3357,True,True
GLENBROO69 KV   GLE-KOON,GLENBROO_69 KV_GLE-KOON:ACTUAL,GLENBROO 69KV - KOONSVIL 69KV (GLENBROO 69 KV GLE-KOON),high,medium,0.7227,0.4643,False,True
EDWSFERY230 KV  23111,NORTHWES230 KV 230-3 Conastone-Northwest (2322) 230 KV & N.West #2 tx,EDWSFERY230 KV  203B,medium,low,0.5858,0.19,False,True
MORSE   138 KV  MOR-STE1,MORSE_138 KV_MOR-STE1:ACTUAL,MORSE 138KV - STELZER 138KV (MORSE 138 KV MOR-STE1),medium,medium,0.585,0.6119,False,False
LAFAYETTE 138/230 KV TR1 L/O LAFAYETTE 138/230 TR4,SHAWVILL_230 KV_BNK 2A-P:TEMP: Shaw U1 + Lewis Run TR4 + Forrest TR1 CB,Elmont #1 XFMR l/o Elmont #2 xfmr (failed sect),low,low,0.3236,0.2676,True,True
CARL PN-GARDNERS 1049 B 115 KV,CARL PN_115 KV_CAR-GAR:ACTUAL,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR),high,medium,0.9403,0.5864,True,True
HALLWOOD 69 KV HALLWOOD-OAKHALL 6790-1,HALLWOOD_69 KV_HAL-OAK:ACTUAL,OAKHALL 69KV - HALLWOOD 69KV (HALLWOOD 69 KV HAL-OAK),medium,medium,0.6333,0.5278,True,True
SHAMPTON115 KV  93A,SHAMPTON_115 KV_93A:ACTUAL,SHAMPTON 115KV - WTKINSCR 115KV (SHAMPTON 115 KV 93A),medium,low,0.5952,0.35,False,False
111 ELEC 138 KV 111 ELEC-951 AURO 11105,111 ELEC_138 KV_11110 1:ACTUAL,111 ELEC-951 AURO 11105     A  138 KV,high,low,0.8727,0.35,False,True
MEADOWBR-STRASBUR MST A 138 KV,MEADOWBR_138 KV_MEA-WWI:ACTUAL,MEADOWBR-STRASBUR MST       A  138 KV,high,low,0.7949,0.35,True,False
CENTRAL REACTIVE TRANSFER INTERFACE,Central Interface,TRANSFER INTERFACE: CENTRAL,medium,low,0.4952,0.3333,True,True
BRAMBLET_230KVBRA-EVRG_1_LN,BRAMBLET_230 KV_BRA-EVRG:L230.Brambleton-PolandRoad.2183,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG),medium,low,0.4722,0.2,False,True
BEATTY-BOLTON BEA-BOL       A  138 KV,BEATTY_138 KV_BEA-BOL:L138.WilsonCS-Beatty,BEATTY 138KV - BOLTON 138KV (BEATTY 138 KV BEA-BOL),high,medium,0.9278,0.5083,False,True
FARMVILL230 KV  TX5,REEVESAV_230 KV_TX5:ACTUAL,FARMVILL 230KV - FARMVILL 115KV (FARMVILL 230 KV TX5),medium,low,0.5917,0.35,False,True
JOSHUAF2 765 KV JOSHUAF2 . 1 XFORMER,JOSHUAF2_765 KV_. 1:ACTUAL,JOSHUAF2 .  1     XFORMER   H  765 KV,medium,low,0.6333,0.35,True,True
GOOSECRE TX1 XFORMER H 500 KV,GOOSECRE_500 KV_TX1:ACTUAL,GOOSECRE 500KV - GOOSECRE 230KV (GOOSECRE 500 KV TX1),high,low,0.7,0.4357,False,True
SCOTTSVI 138 KV SCOTTSVI-BREMO_VP,SCOTTSVI_138 KV_SCO-BRE1:BREMO 230/115 TX#9,BREMO4 138KV - SCOTTSVI 138KV (SCOTTSVI 138 KV SCO-BRE1),high,medium,0.7273,0.5336,True,True
ASHBURN 230 KV  227A,ASHBURN_230 KV_TX1:ACTUAL,ASHBURN 230 KV  227A,high,low,0.9571,0.35,False,True
GLENARM 115 KV GELNARM-WINDYEDGE2 110512,GLENARM_115 KV_GLE-WIN2:230/115.Northwest.230-3,GLENARM 115kV GLE-WIN2,high,medium,0.7778,0.4833,True,True
KYGERCRE345 KV  KYG-DOE3,KYGERCRE_345 KV_KYG-DOE3:ACTUAL,KYGERCRE 345KV - DOEX530 345KV (KYGERCRE 345 KV KYG-DOE3),high,low,0.7,0.4357,False,True
OLIVE   345 KV  OLI-OLIV,OLIVE_345 KV_OLI-OLIV:ACTUAL,OLIVUNPA 345KV - OLIVE 345KV (OLIVE 345 KV OLI-OLIV),high,medium,0.8417,0.6008,False,False
CANYON  230 KV  CAN-EAS,CANYON_230 KV_CAN-EAS:ACTUAL,CANYON 230KV - ETOWANDA 230KV (CANYON 230 KV CAN-EAS),high,medium,0.8417,0.6008,False,False
SAPONY_T1_230TX2_XF,SCADIZ_138 KV_T1_XF:ACTUAL,SCADIZ  138 KV  T1_XF,low,low,0.2857,0.35,True,False
ASPENSLR_115KVASP-SHAD_1_LN,ASPENSLR_115 KV_ASP-SHAD:ACTUAL,SHADEGAP 115KV - ASPENSLR 115KV (ASPENSLR 115 KV ASP-SHAD),low,low,0.2222,0.3,True,True
PIERC_DK345 KV  PIE-PIE2,PIERC_DK_345 KV_PIE-PIE2:ACTUAL,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE2),high,medium,0.775,0.4833,False,True
HOYTDAL2 138 KV HOYTDAL2-MAPLEOE,HOYTDAL2_138 KV_HOY-MAP1:ACTUAL,HOYTDAL2 138KV - MAPLEOE 138KV (HOYTDAL2 138 KV HOY-MAP1),high,medium,0.8667,0.4833,False,True
FIELDSCR115 KV  FIE-JARR,FIELDSCR_115 KV_FIE-JARR:ACTUAL,JARRATT 115KV - FIELDSCR 115KV (FIELDSCR 115 KV FIE-JARR),medium,medium,0.4545,0.4929,False,False
BARD_IND69 KV   EBR-BARD,BARD_IND_69 KV_EBR-BARD:ACTUAL,BARD_IND 69KV - E_BARDST 69KV (BARD_IND 69 KV EBR-BARD),low,medium,0.4389,0.4929,False,False
BURMA 115 KV BURMA-PINEY BA,BURMA_115 KV_BUR-PIN:ACTUAL,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN),medium,medium,0.6269,0.5233,True,False
GLENDON 115 KV GLENDON-NORTHWOO 951,GLENDON_115 KV_GLE-NOR:ACTUAL,GLENDON 115KV - NORTHWT14502 115KV (GLENDON 115 KV GLE-NOR),high,medium,0.8,0.545,True,True
COOPERPE 230 KV COOPERPE-PEACHTAP COO-PEA,COOPERPE_230 KV_COO-PEA:ACTUAL,PEACHTAP 230KV - COOPERPE 230KV (COOPERPE 230 KV COO-PEA),high,medium,0.8769,0.5033,False,False
GOOSECRE500 KV  TX1,POSSUMP4_500 KV_TX1:ACTUAL,GOOSECRE 500KV - GOOSECRE 230KV (GOOSECRE 500 KV TX1),medium,low,0.6067,0.35,False,True
SMITHTON 138 KV SMITHTON-YUKON SLJ-YU,SMITHTON_138 KV_SMI-YUK2:CHARLERO-YUKON (APS),YUKON 138KV - SMITHTON 138KV (SMITHTON 138 KV SMI-YUK2),high,medium,0.7949,0.491,False,False
CROZET 230 KV CROZET -BARRCKRD 233B,CROZET 230 KV 233B 553 LINE:ELMONT-CUNNINGHAM TX#2,CROZET 230KV - BARRCKRD 230KV (CROZET 230 KV 233B),high,medium,0.8952,0.4667,False,False
NEWBERRY_115KVNEW-ROU_1_LN,NEWBERRY_115 KV_NEW-ROU:ACTUAL,NEWBERRY 115KV - ROUNDTOP 115KV (NEWBERRY 115 KV NEW-ROU),low,low,0.2222,0.3,True,True
DESPER  230 KV  DES-SANN,DESPER_230 KV_DES-SANN:L500.Morrisville-Spotsylvania.594,DESPER 230KV - SANNA 230KV (DESPER 230 KV DES-SANN),high,medium,0.8417,0.5083,False,False
