market_constraint,dayzer_constraint,pano_constraint
KILMER 230 KV KILMER-SAYREVIL LN1-SC1,,SAYREVIL 230KV - KILMER 230KV (KILMER 230 KV KIL-SAYI)
LINE 230 KV CEDARSUB-CEDARGRO CED-CEDY,,CEDARSUB 230KV - CEDARGRO 230KV (CEDARSUB 230 KV CED-CEDF)
NELSON-VIENNA 13707         A  138 KV,,VIENNA 230KV - VIENNA 138KV (VIENNA 230 KV AT20)
BAIR 115 KV BAIR-JACK ME 969-2,BAIR 115-JACK ME 115-1,JACK ME 115KV - BAIR 115KV (BAIR 115 KV BAI-JAC)
GARDNERS_115KVGAR-TEX_1_LN,,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX)
BENTMOUN138 KV  BEN-CLE1,,CLOVERD2 345KV - CLOVERD2 138KV (CLOVERD2 345 KV 3)
YUKON TRAN 4 XFORMER H 500 KV,,YUKON    TRAN  4  XFORMER   H  500 KV
COOP_EK 161 KV  COO-ELIH,COOP_EK_161 KV_COO-ELIH:ACTUAL,
YUKON TRAN 4 XFORMER H 500 KV,,YUKON    TRAN  4  XFORMER   H  500 KV
REDLION 230 KV  RED-SIL1,REDLION_138 KV_RED-REY:230/138.Harmony.AT20,REDLION 230KV - SILVERUN 230KV (REDLION 230 KV RED-SIL1)
EMILIE 230 KV EMILIE EMIL7TR XFORMER,,EMILIE  138 KV  EMI-NES
BUTLER  69 KV   BUT-VIN,BUTLER_69 KV_BUT-VIN:ACTUAL,BUTLER 69KV - VINELAND 69KV (BUTLER 69 KV BUT-VIN)
ENTRPRIS230 KV  2186A,,BRAMBLET230 KV  2045A
VIENNA 138 KV VIENNA 8110 CB,,VIENNA 230KV - VIENNA 138KV (VIENNA 230 KV AT20)
ETOWANDA_230KVETO-HIL_1_LN,,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL)
ARSENAL 345 KV ARSENAL -BRUNOTIS ARS-BRU1,BRUNOTIS_138 KV_BRU-FOR:L345.Arsenal-BrunotIsland.305,
OAKGREEN 115 KV OAKGREEN-MITCHLDP 2A,,OAKGREEN 115KV - MITCHLDP 115KV (OAKGREEN 115 KV 2A)
OREGONDP115 KV  ORE-PEA,CONASTON_500 KV_CNS-PEA:500/230.Conastone.500-2,LINE    500 KV  PEA-ROC
ETOWANDA-NMESHOPP ETL 1057 B 115 KV,,ETOWANDA 115KV - ESAYRE 115KV (ESAYRE 115 KV ESA-ETO)
ALTAVSTA 138 KV ALTAVSTA TX4 XFORMER,,ALTAVSTA 115KV - ALTAVSTA 138KV (ALTAVSTA 138 KV TX4)
CUMB PL 230 KV  2,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,CUMB PL 230KV - CUMB PL 69KV (CUMB PL 230 KV 2)
TERMINAL 345 KV TERMINAL 11 XFORMER,,SILVERGR345 KV  23
TODD HUNTER 15 345/138 KV L/O TODD HUNTER 16 345/138,,TODDHUNT 345KV - TODDHUNT 138KV (TODDHUNT 345 KV 15)
JUNIATA 2 XFORMER H 500 KV,,
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL)
CHURCH 69 KV CHURCH-NEWMERED 6704-1,,CHURCH 69KV - NEWMERED 69KV (CHURCH 69 KV CHU-NME)
HOWARD2 138 KV  HOW-MEL1,HOWARD2_138 KV_HOW-MEL1:ACTUAL,MELMORE 138KV - HOWARD2 138KV (HOWARD2 138 KV HOW-MEL1)
HOMERCIT_230KVHOM-SHE_1_LN,,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE)
APSOUTH CONTINGENCY 56,,TRANSFER INTERFACE: APSOUTH
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A,,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A)
ATHENIA-KULLERRD J-1362 B 138 KV,,
155 NELS345 KV  TR81CT-P,,155 NELS 345KV - 155 NELS 1KV (155 NELS 345 KV TR84CT-P)
LINWOOD2138 KV  LIN-MAK,MAKAHOY_138 KV_MAK-STR:L765.Dumont-Sorenson,
AEP-DOM,,AEP-DOM contingency 11
LOUDOUN4 500 KV LOUDOUN4 TX1 XFORMER,,LOUDOUN4500 KV  TX1
BRUNNERI 230 KV BRUNNERI-MIDDLJCT #1 1056,,MIDDLJCT 230KV - BRUNNERI 230KV (BRUNNERI 230 KV BRU-MID5)
PLEASNTV TX3 XFORMER L 230 KV,,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3)
CARL PN-ROXBURY KRG 1049 B 115 KV,,ROXBURY 115KV - CARL PN 115KV (CARL PN 115 KV CAR-ROX)
STEELCTY_T5_500TR1_XF,,NAZARETH 69KV - CHERRYHI 69KV (CHERRYHI 69 KV CHE-NAZ2)
4_QUAD_C_T4_345TR118_XF,,
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:ACTUAL,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC)
MADDOXCR345 KV  ELI-MAD,ELIMA_138 KV_ELI-HAV1:345/138.FostoriaCentral.T1,
EDISON2 138 KV  EDI-GRA,,
08LAPLJT138 KV  08L-SAN1,,08LAPLJT138 KV  08L-SAN1
SHAWVILL4.1 KV  BNK 14-T,TWINBRAN_345 KV_T-6:L765.Dumont-Sorenson,
ATHENIA 230 KV  ATH-BERA,ATHENIA_230 KV_ATH-BERA:ACTUAL,ATHENIA 230KV - BERGEN 230KV (ATHENIA 230 KV ATH-BERA)
NELSON 138 KV NELSON-VIENNA 13707,,
FRENCHSM 138 KV FRENCHSM-JUNCTION JST1,,JUNCTION 138KV - FRENCHSM 138KV (FRENCHSM 138 KV FRE-JUN)
BIGPINET138 KV  BIG-KIS,,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS)
AEP-DOM CONTINGENCY 55,AEP-DOM contingency 17 Amos.U1U2U3,AEP-DOM contingency 55
HALLWOOD 69 KV HALLWOOD-OAKHALL 6790-1,,OAKHALL 69KV - HALLWOOD 69KV (HALLWOOD 69 KV HAL-OAK)
HARWOOD 230 KV HARWOOD-SUSQUEHA,,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS)
RICHMOND138 KV  RIC-SEL1,RICH PE_230 KV_RIC-WAN:Alburtis-Branchburg 500,RICHLND 138KV - WAUSEON 138KV (RICHLND 138 KV RIC-WAUS)
NMESHOPP 230 KV NMESHOPP 4TX 230 CB CB,,
REMNTNCT230 KV  299A,,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A)
GRACETON 230 KV GRACETON-SAFEHARB 2303,,GRACETON230 KV  GRA-SAF
BLAIRSVE138 KV  BLA-SOC,,SOCIALHA 138KV - SALTSBUR 138KV (SALTSBUR 138 KV SAL-SOC)
NMESHOPP #3 TX    XFORMER   H  230 KV,,
FARMVIEW138 KV  FRM-MIL,,TWITTYCK 115KV - TWITTYCK 35KV (TWITTYCK 115 KV TX1)
0703 138 KV 0703 3,,
ATHENIA 138 KV ATHENIA-FAIRLAWN I-1361,ATHENIA_138 KV_ATH-FAI:230/138.Fairlawn.220-1,
NEWCARLI138 KV  NEW-PLE,,NEWCARLI 138KV - PINEROAD 138KV (NEWCARLI 138 KV NEW-PIN1)
HANOVER_69KVHAN-PAR_1_LN,HANOVER_69 KV_HAN-PLY:230/66.Mountain.T1 (Sctnlz),
VINELAND69 KV   0712,,VINELAND69 KV   0712
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,
LAKEGEO - TOWERRD 138 KV L/O MICHCITY-BABCOCK 345 KV,,LAKEGEOR 138KV - TOWERRD 138KV (LAKEGEOR 138 KV LAK-TOW1)
LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:ACTUAL,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL)
BIGPINET138 KV  BIG-GAR,,GARMAN  115 KV  GAR-GLO
COOLSPRI69 KV   COL-HAR,,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL)
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,JUNIATA 230KV - DAUPHIN 230KV (DAUPHIN 230 KV DAU-JUN)
HAYES_FE345 KV  TR1,,GREENFOE 138KV - NASA 138KV (GREENFOE 138 KV GRE-NAS1)
EWATERVT138 KV  EAS-HAR,EWATERVT_138 KV_EAS-HAR:ACTUAL,
CROZET 230 KV CROZET -DOOMS4 291A,,DOOMS4 230KV - CROZET 230KV (CROZET 230 KV 291A)
BRANDONS 230 KV BRANDONS-WAUGHCHA 2342,,WAUGHCHA 230KV - BRANDONS 230KV (BRANDONS 230 KV BRA-WAU2)
PIERCE  345 KV  PIE-DEA1,,DEARBORN 345KV - PIERCE 345KV (PIERCE 345 KV PIE-DEA1)
OX4 500 KV OX4 TX1 XFORMER,,OX4 500KV - OX4 230KV (OX4 500 KV TX1)
155 NELS345 KV  TR81CT-P,,1 LASALL345 KV  TR81CT-P
FOX_HOLL161 KV  TR1,FOXHILL_230 KV_FOX-SHA:PORTLAND-KITTATINY,LINE    230 KV  FOX-SHA
DEEPCRK 115 KV DEEPCRK-GARRETAP SDC 1059,GARRETAP_115 KV_GAR-GAR:ACTUAL,
OLIVE   138 KV  2-S,OLIVE_138 KV_2-S:ACTUAL,
155 NELS 345 KV 155 NELS TR81CT-P XFORMER,,155 NELS 138KV - 155 NELS 1KV (155 NELS 138 KV TR81CT-S)
CHESWICK138 KV  CHE-SPR,,CHESWICK138 KV  CHE-SPR
DOEX530_T1_345208T_XF,,
SHERWOOD-TRANSCO 91C B 115 KV,,TRANSCO 115KV - SHERWOOD 115KV (SHERWOOD 115 KV 91C)
NOTTINGH 230 KV NOTTINGHM 1-3 SER DEV,,NOTTINGHM 1-3 SER DEV       A  230 KV
COLLIER 345 KV COLLIER T2 XFORMER,,COLLIER  T2       XFORMER   H  345 KV
MICHIGAN CITY-TRAIL CREEK 138 L/O MICHIGAN CITY-BOSSERMAN 138 FG,,Michigan City-Trail Creek 138 l/o Michigan City-Bosserman 138
116 GOOD345 KV 11620,,54 CLYBO138 KV  4013 1
CONC BC 115 KV  CON-MON,,MONUMEST 115KV - CONC BC 115KV (CONC BC 115 KV CON-MON3)
CONASTON 230 KV CONASTON-NORTHWES 2322,,
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A,,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A)
ESAYRE 115 KV ESAYRE-NWAVERLY 1058 TIE,,NWAVERLY 115KV - ESAYRE 115KV (ESAYRE 115 KV ESA-NWA)
NAMPTON_138KVNHA-SIE2_1_LN,EGYPT_138 KV_EGY-SIE2:L500.Susqhnna-Wscsvll-Albrts.5043/5044 + Wscsvl.T3,
CARL PN-GARDNERS 1049 B 115 KV,,CARL PN 115KV - GARDNERS 115KV (CARL PN 115 KV CAR-GAR)
HINCHMAN_230KVHIN-JAC_1_LN,SB 18 6_161 KV_LN 4447:OakGrove - Louisa 345 kV,
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,,
BIGPINET138 KV  BIG-GAR,,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS)
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,,BAGLEY  230 KV  BAG-GRA
PIERC_DK345 KV  PIE-PIE1,,PIERC_DK 138KV - BECKJORD 138KV (BECKJORD 138 KV PIE-BEC4)
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,,ETOWANDA 115KV - ESAYRE 115KV (ESAYRE 115 KV ESA-ETO)
BRAMBLET-EVRGREEN 2172B     A   230 KV,,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG)
COMMODORE 345-230 XFMR 2 L/O PRAIRIE STATE-MT VERNON 345,,Commodore 345-230 xfmr 2 l/o Prairie State-Mt Vernon 345
PLEASNTV-ASHBURN 274D A 230 KV,,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D)
12 DRESD 345 KV 12 DRESDEN 45TR83 CT,,
DUPSEAFD-LAURELDP 6736 B 69 KV,,DUPSEAFD-LAURELDP 6736      A  69 KV
BOSSERMN138 KV  BOS-BNI2,BOSSERMN_138 KV_BOS-BNI2:ACTUAL,
CRES DUQ 345 KV CRES DUQ T1 XFORMER,,CRES DUQ345 KV  T2
CLIN DUQ 138 KV CLINTON-FINDLAY Z-34,CLIN DUQ_138 KV_CLI-FIN:L345.Crescent-Mansfield,CLIN DUQ 138KV - FINDLAY 138KV (CLIN DUQ 138 KV CLI-FIN)
11 FISK 138 KV  TR75R 12,11 FISK_138 KV_TR75R 12:ACTUAL,
DANVILLE-EDANVILL B 138 KV,,
SHENANGO-MASURY             A  138 KV,,SHENANGO 138KV - MASURY 138KV (SHENANGO 138 KV SHE-MAS1)
CONASTON_230KVCNS-NOR1_1_LN,CONASTON_230 KV_CON-GRAC:500/230.WaughChapel.500-4,
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1,,TMI 230KV - MIDDLJCT 230KV (MIDDLJCT 230 KV MID-TMI2)
AMOS 765 KV AMOS 6 XFORMER,,AMOS     6        XFORMER   H  765 KV
HILLSBOR138 KV  HIL-WIL1,HILLTOP_115 KV_HIL-REE:ACTUAL,
78_FRANK_138KV135031_1_LN,,
WESTGLOW138 KV  WES-WUR,,WESTGLOW 138KV - WURNO 138KV (WESTGLOW 138 KV WES-WUR)
ALLLUD4J_138KVALJ-ALL_1_LN,,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL)
108 LOCK 345 KV 108 LOCK-935 KEND 10805,,
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
CHALKPT 500 KV CHALKPT 500-6T XFORMER,,CHALKPT 500KV - CHALKPT 230KV (CHALKPT 500 KV 500-6T)
DANVILLE-EDANVILL B 138 KV,,DANVILLE 138KV - EDANVILL 138KV (DANVILLE 138 KV DAN-EDA1)
ANACONDA115 KV  ANA-HART,ANACONDA_115 KV_ANA-HART:ACTUAL,CLOUD 115KV - CLOUD 230KV (CLOUD 230 KV TX2)
4 QUAD C345 KV  0405,,
BAYVIEW 69 KV BAYVIEW-EASTVILL 6750-1,,LINE    138 KV  BAY-FED
116 GOOD345 KV  11614 1,,
SWLIMA  138 KV  SWL-WMO1,SWLIMA_138 KV_SWL-WMO1:ACTUAL,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1)
955 RIVE138 KV  0704 5,,
DUCKCREE 138 KV DUCKCREE-MILL AEP 642,TIDD_AEP_345 KV_B-P:345/138.Holloway.TR1,20 BRAID345 KV  TR1    24
DOEX530_T2_345203T_XF,AMOS_765 KV_6:AMOS 765-345KV XF #5,
KERR45 115 KV KERR45 -KERRDAM 45A,KERR45_115 KV_45A:193 LINE: KERRDAM-BUGGSISL,KERR45 115KV - KERRDAM 115KV (KERR45 115 KV 45A)
JOSHUAF2 765 KV JOSHUAF2 . 1 XFORMER,,CLOVERD2765 KV  . 10
HAMPSHIR 138 KV HAMSHIR-RIDGELEY,,RIDGELEY 138KV - HAMPSHIR 138KV (HAMPSHIR 138 KV HAM-RID)
EUGENE - CAYUGA 345 KV L/O KANSAS - SUGAR CREEK 345 KV,,EUGENE 345KV - CAYUGA3 345KV (EUGENE 345 KV EUG-CAY1)
CLOUD_115KVCLO-KERR_1_LN,,CLOUD 115KV - KERRDAM 115KV (CLOUD 115 KV CLO-KERR)
BEAVER  138 KV  BEA-NAS1,BEAVER_138 KV_BEA-NAS1:345/138.Beaver.T2,NASA 138KV - BEAVER 138KV (BEAVER 138 KV BEA-NAS1)
BRUNOTIS138 KV BRU-FOR,BRUNOTIS_138 KV_BRU-FOR:345/138.Arsenal.T1,
JACKSONS138 KV  JAC-PEA1,JACKSONS_138 KV_JAC-PEA1:765/138.JacksonsFerry.T2,
3 POWERT138 KV  POW-TWRL,3 POWERT_138 KV_POW-TWRL:ACTUAL,
ALLDAM6_138KVALL-KIT_1_LN,,
GRACETON 230 KV GRACETON-SAFEHARB 2303,,GRACETON-SAFEHARB 2303      A  230 KV
EWAYNESB 138 KV EWAYNESB-RINGGOLD RWA1,,RINGGOLD 138KV - EWAYNESB 138KV (EWAYNESB 138 KV EWA-RIN)
BOARDMAN138 KV BOA-SHE1,,
EDGEWOOD 115 KV EDGEWOOD-SHELOCTA LSH 1036,,
ALDENE 230 KV ALD-SPRG,ALDENE_230 KV_ALD-SPRG:ACTUAL,ALDENE 230KV - SPRINGRD 230KV (ALDENE 230 KV ALD-SPRG)
MONTOUR 230 KV  MON-SAE2,,SAEGERS 230KV - MONTOUR 230KV (MONTOUR 230 KV MON-SAE2)
SANDERSO138 KV  SAN-08C,SANDERSO_138 KV_SAN-08C:ACTUAL,
TANNERSC345 KV  TAN-MIA1,,TANNERSC 345KV - EBEND 345KV (TANNERSC 345 KV TAN-EBE1)
OX4     500 KV  571A,OX4_230 KV_2097B:L230.Brambleton-PolandRoad.2183,POSSUMP4 500KV - OX4 500KV (OX4 500 KV 571A)
GREENE  345 KV  BK-N,,GREENE 345KV - GREENE 138KV (GREENE 345 KV BK-N)
BRAMBLET-EVRGREEN 2172B     A   230 KV,,EVRGREEN 230KV - YARDRIDG 230KV (EVRGREEN 230 KV EVR-YARD)
MILLVILL_138KVMIL-SLE_1_LN,,MILLVILL 138KV - SLEEPYHO 138KV (MILLVILL 138 KV MIL-SLE)
HOWARD2 138 KV  HOW-MEL1,HOWARD2_138 KV_HOW-MEL1:ACTUAL,MELMORE 138KV - HOWARD2 138KV (HOWARD2 138 KV HOW-MEL1)
REMNTNCT-MARSHRUN 299A B 230 KV,REMNTNCT_230 KV_299A:L500.Morrisville-Spotsylvania.594,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A)
566_OAKB_138KV13506Z1_1_LN,,
NSALISBU 69 KV NSALISBUR-PEMBERTON 6701-1,,NSALISBU 69KV - PEMBERTO 69KV (NSALISBU 69 KV NSA-PEM)
MANS PN 115 KV MANS PN-NILESVAL NVM 1095,,MANS PN 115KV - NILESVAL 115KV (MANS PN 115 KV MAN-NIL)
MIAMIFOR 345 KV MIAMIFOR 9 XFORMER,,MIAMIFOR 138KV - WILLEY 138KV (MIAMIFOR 138 KV MIA-08W1)
SPRUCE  138 KV  SPR-04L2,,LEROYCEN 138KV - SPRUCE 138KV (SPRUCE 138 KV SPR-04L2)
ALLDAM6_138KVALL-KIT_1_LN,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
COLLIER 345 KV COLLIER T1 XFORMER,,COLLIER 345KV - COLLIER 138KV (COLLIER 345 KV T1)
POSSUMP4 200192       CB       230 KV,,POSSUMP4 200192       CB       230 KV
BERWICK 69 KV BERWICK-KOONSVIL,,BERWICK 69 KV   BER-KOO
LINE 69 KV MONR AE-VINELAND 0711-1,MONR AE_69 KV_MON-VINE:L69.Sherman-Vineland.0761,MONR AE 69KV - VINELAND 69KV (MONR AE 69 KV MON-VINE)
DUMONT2 345 KV  DUM-ELD,DUMONT2_345 KV_DUM-ELD:ACTUAL,
MONTCO  138 KV  MON-PLY,MONTCO_138 KV_MON-PLY:ACTUAL,MONTCO 138KV - PLYMOUTH 138KV (MONTCO 138 KV MON-PLY)
KENZIECR345 KV  TR1,,KENZIECR 345KV - KENZIECR 138KV (KENZIECR 345 KV TR1)
CHEOAH - ALCOA 161 KV L/O OCONEE - SOUTH HALL 500 KV,AP SOUTH for l/o Dooms-Valley:L500.Dooms-Valley.549,ELKGARD2138 KV  ELK-SAL1
CAPITOLH 138 KV CAPITOLH-CHEMICAL,,CHEMICAL 138KV - CAPITOLH 138KV (CAPITOLH 138 KV CAP-CHE1)
EAKRON  138 KV  EAK-HAY,EAKRON_138 KV_EAK-HAY:ACTUAL,
MARDELA_69KVMAR-VIE_1_LN,,MARDELA-VIENNA 6708-1       A  69 KV
HARWOOD_230KVHAR-SIE_1_LN,,HARWOOD 230KV - SIEGFRIE 230KV (HARWOOD 230 KV HAR-SIE)
POSSUMP4 230 KV POSSUMP4 2078Z SER DEV,,POSSUMP4 2078Z    SER DEV   A  230 KV
EDGEMOOR 230 KV EDGEMOOR-HARMONY 23012,,EDGEMOOR-HARMONY 23012      B  230 KV
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR)
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,,ROXBURY-SHADEGAP KR 1075    B  115 KV
FREMNT-FREMONTC A 138 KV,,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1)
BATESVILLE - HUBBLE 138 KV L/O SORENSON - MARYSVILLE 765 KV,,BATESVIL 138KV - HUBBLE 138KV (BATESVIL 138 KV BAT-HUB1)
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,,LOCKWOOD 138KV - RICHLND 138KV (LOCKWOOD 138 KV LOC-RIC1)
PLUM    138 KV  PLU-UNI,PLUM_138 KV_PLU-UNI:ACTUAL,PLUM 138KV - UNIVERSA 138KV (PLUM 138 KV PLU-UNI)
LAUREL 69 KV LAUREL-WOODSTOW 0740,,WOODSTOW 69KV - LAUREL 69KV (LAUREL 69 KV LAU-WOO)
TWINBRAN345 KV  T-7,,
BRAMBLET-EVRGREEN 2172B,,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG)
AQUASCO 230 KV AQUASCO -CHALKPT AQU-CHA1,AQUASCO_230 KV_AQU-CHA1:L500.BurchesHill-Cheltenham.5071,
NORTHWEST TAP - WEST LAFAYETTE 138KV L/O SPRINGBORO - MONTICELLO 138KV,,08NW TAP 138KV - WLAFYETT 138KV (08NW TAP 138 KV NWT-WLA)
NORRIS CITY N-CROSSVILL 138KV L/O NEWTON-XENIA 345KV,,Newton-Rob 138kV l/o Newton-Xenia 345kV
BRAMBLET-EVRGREEN 2172B,,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG)
BRIDGEWA 230 KV BRIDGEWA-MIDDLESE I-1023,,BRIDGEWA 230KV - MIDDLESE 230KV (BRIDGEWA 230 KV BRI-MID)
CANYON  -ETOWANDA CAN-EAS   B  230 KV,,
PLYMOUTH 230 KV PLYMOUTH-WHITPAIN 220-14,PLYMOUTH_230 KV_PLY-WHI4:LIMERICK-CROMBY-BETZWOOD 220-61/63,PLYMOUTH-WHITPAIN 220-14    B  230 KV
ERIEW 115 KV ERIEW-FAIRVIEW EWFE 998,ERIEW_115 KV_ERI-FAI:Erie West-Erie South 345kV,
ASPENSLR115 KV  ASP-SHAD,ASPENSLR_115 KV_ASP-SHAD:ACTUAL,
112 WILT 765 KV 112 WILTON 65TR94 CT,,80 PONTI 345KV - 12 DRESD 345KV (12 DRESD 345 KV 8014)
ARSENAL 138 KV  ARS-RIAZ,ARSENAL_138 KV_ARS-RIAZ:ACTUAL,ARSENAL 138 KV  ARS-OAK
KENT 69 KV KENT-VAUGHN 6784-1,,KENT 69KV - VAUGHN 69KV (KENT 69 KV KEN-VAU)
EDGEMOOR 230 KV EDGEMOOR-HARMONY 23012,,EDGEMOOR 230KV - HARMONY 230KV (EDGEMOOR 230 KV EDG-HAR)
LOCKWOOD_138KVLOC-RIC1_1_LN,,LOCKWOOD 138KV - RICHLND 138KV (LOCKWOOD 138 KV LOC-RIC1)
PETERS 138 KV PETERS-UNIONJCT UNNJ-PTR,,UNIONJCT 138KV - PETERS 138KV (PETERS 138 KV PET-UNI)
HALLBRAN 115 KV HALLBRAN-ALTAVSTA 191A,HALLBRAN115 KV 191A VirginiaCity.U1,
179_BLOO_T1_345TR84CT-P_XF,,179 BLOO 345KV - 179 BLOO 1KV (179 BLOO 345 KV TR84CT-P)
ASHBURN 230 KV  227A,,ASHBURN 230 KV  227A
TAZEWELL 138/345 XFMR 2 FLO POWERTON 6 UNIT,,TAZEWEL2 138KV - TAZEWEL2 345KV (TAZEWEL2 345 KV TR2)
GOOSECRE500 KV  TX1,,
COOLSPRI-MILFORD 23069 B 230 KV,,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL)
CASYW-SULLIVAN 345 KV L/O BUNSONVIL-EUGENE 345 KV,,CasyW-Sullivan 345 kV l/o Bunsonvil-Eugene 345 kV
REID 138 KV REID-RINGGOLD RCMO,,REID 138KV - RINGGOLD 138KV (REID 138 KV REI-RIN)
HAYES_FE345 KV  TR1,,KAMMER2 765KV - SCANTON2 765KV (KAMMER2 765 KV KAM-SCA1)
20 BRAID 345 KV 20 BRAID-66 E FRN 2001,,20 BRAID 345KV - 66 E FRN 345KV (20 BRAID 345 KV 2001)
GREYSPT 115 KV  GRE-RAP1,GREENTAP_138 KV_GRE-LET:ACTUAL,GREYSPT 115KV - RAPPAHAN 115KV (GREYSPT 115 KV GRE-RAP1)
TRENTON2138 KV  TRE-COL1,,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1)
SIEGFRIE 4 XFORMER H 230 KV,,
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:ACTUAL,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5)
MAINESBG345 KV  T1,,
APSOUTH CONTINGENCY 47,,APSOUTH contingency 47
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,PIERCE 345KV - DOEX530 345KV (DOEX530 345 KV DOE-PIE1)
BETHELBO138 KV  BET-CON,BETHELBO_138 KV_BET-CON:ACTUAL,
LAYMAN_138KVLAY-WOL_1_LN,MUSKING2_138 KV_MUS-WOL:L765.Kammer-Belmont-Mountaineer,
FLOWGATE MICHIGAN CITY-TRAIL CREEK 138 KV L/O OLIVE 345/138 KV,,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV
SUB 56-SUB 85 161KV L/O LOUISA-OAK GROVE 345KV,66 E FRN_345 KV_11601:345L11602 SF Goodings Grove-E Frank 345kV SPOG3-29,
BOXWOOD_138KVBOX-CLI1_1_LN,,BOXWOOD 138KV - CLIFFORD 138KV (BOXWOOD 138 KV BOX-CLI1)
CLAYMONT_69KVCLA-NAA_1_LN,,CLAYMONT 69KV - NAAMANS 69KV (CLAYMONT 69 KV CLA-NAA)
EDGEWATE_138KVEDG-LOY_1_LN,,EDGEWATE 138KV - LOYALHAN 138KV (EDGEWATE 138 KV EDG-LOY)
15002_138KV15002B_1_LN,,
ERIEW 115 KV ERIEW-FAIRVIEW EWFE 998,,ERIEW-FAIRVIEW EWFE 998     A  115 KV
HOMERCIT_230KVHOM-SHE_1_LN,,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE)
SEWARD 230 KV 9 TX,,SEWARD 230KV - SEWARD 115KV (SEWARD 230 KV 9 TX)
CARL_PN_115KVCAR-GAR_1_LN,,CARL PN 115KV - GARDNERS 115KV (CARL PN 115 KV CAR-GAR)
FRACKVIL 230 KV FRACKVIL-SIEGFRIE,,
11 FISK 138 KV  TR75B 12,11 FISK_138 KV_TR75B 12:ACTUAL,
ALLENIM-RPMONE 345 KV  L/O HANGING ROCK - JEFFERSON 765 KV,,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM)
