market_constraint,dayzer_constraint,pano_constraint
12 DRESDEN 45TR81 CT H 345 KV,,12 DRESDEN  45TR81 CT       H  345 KV
KINGSTON69 KV   KST-WOR,KINGSTON_69 KV_KST-WOR:ACTUAL,
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,,Tippecan-Lafaysouth 138 l/o Westwood-08NW_Tap-WLafyett 138 kV
WHITESTN 115 KV WHITESTN-HARMONYV 65A,,WHITESTN-HARMONYV 65A       B  115 KV
JUNIATA 2 XFORMER H 500 KV,,JUNIATA 230KV - JUNIATA 69KV (JUNIATA 230 KV 4)
GARRETAP-GARRETT B 115 KV,,
MEHOOPAN115 KV  MEH-NME1,,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME2)
GRACETON230 KV  GRA-MANO,,GRACETON230 KV  GRA-SAF
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,,FACEROCK FAROZBR  SER DEV   A  69 KV
CONASTON-PEACHBOT 5012 A 500 KV,,
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,CEDARGRO_230 KV_CED-CLIB:L500.Hopatcong-Ramapo.5018,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIB)
BRIGHTON 6AB           CB      500 KV,,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.3TR)
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,,Commodore 345/230 XF2 l/o Prairie State-Mt Vernon 345kV
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,,SANDBRG 161KV - SANDBRG 138KV (SANDBRG 161 KV TR3)
BIGPINET138 KV  BIG-KIS,,
CONASTON-PEACHBOT 5012 A 500 KV,,OTTCRKPL 230KV - CONASTON 230KV (CONASTON 230 KV CNS-OTT)
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1)
MT.VERNON-W.SALEM 138 KV L/O XENIA-NEWTON 345 KV,,Mt.Vernon-W.Salem 138 kV l/o Xenia-Newton 345 kV
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA)
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA)
ASHBURN-GOOSECRE 227D       B  230 KV,,BLMNTDOM230 KV  201
MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE)
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1)
FREMNT-FREMONTC A 138 KV,,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1)
CUSHAW 115 KV CUSHAW -BALCFALL 28A,CUSHAW_115 KV_28A:L765.Greentown-Jefferson,
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:Juniata - TMI 5008 & Juniata - Dauphin,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN)
