market_index,market_record_id,market_constraint,dayzer_constraint,dayzer_confidence,dayzer_final_score,dayzer_ambiguity_flag,pano_constraint,pano_confidence,pano_final_score,pano_ambiguity_flag
19,10016023276,BOONETWN230 KV  BOO-SRE,BOONETWN_230 KV_BOO-SRE:ACTUAL,low,0.565873,True,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE),medium,0.738333,True
20,10000467005,23 COLLI 345 KV 23 COLLINS 45TR92 CT,23 COLLI_345 KV_TR92CT-S:L765.Collins - Plano.2315,low,0.63,True,23 COLLINS  45TR92 CT       H  345 KV,medium,0.766288,True
21,10004075314,ALLENIM 345 KV  ALL-RPM,ALLENIM_345 KV_ALL-RPM:Perry.U1,low,0.692045,True,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM),high,0.86369,True
22,10002405459,94 HAURD138 KV 96101,,low,0.216667,True,94 HAURD138 KV  18623,low,0.645,True
23,10002885534,PRESTON-TANYARD 6716-5 B 69 KV,PRESTON_69 KV_PRE-TAN:ACTUAL,low,0.6975,True,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),high,0.937821,False
24,10000466153,TMI 500 KV TMI 1 BANK XFORMER,TMI_500 KV_1 BANK:500/230.Conastone.500-4,low,0.65,True,TMI 500KV - TMI 230KV (TMI 500 KV 1 BANK),medium,0.778938,True
25,10016743807,NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,,low,0.446382,True,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,high,0.95,True
26,10000566613,LORETTO 138 KV LORETTO-VIENNA 13780,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,medium,0.800505,False,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE),high,0.937821,False
27,10017410690,DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,DUNEACRE_138 KV_DUN-MIC1:Dumont-Wilton Center 765kV,low,0.571429,True,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,high,0.95,False
28,10002875412,COOLSPRI230 KV  COL-MIL,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,low,0.522222,True,COOLSPRI-MILFORD  COL-MIL   A  230 KV,medium,0.785173,True
29,10000568184,945 CRET 345 KV CRETEIPP-STJOHNS,STILLWEL_345 KV_. 1:Wilton Ctr - Dumont 765 kV,low,0.517857,True,Crete-StJohns 345 kV l/o Dumont-Wilton Ctr 765 kV,high,0.864486,False
30,10000467014,4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,4 QUAD C_345 KV_TR1 18:ACTUAL,low,0.541667,True,,low,0.458658,True
31,10002898173,PLEASNTV-ASHBURN 274D A 230 KV,PLEASNTV_230 KV_274D:L230.GooseCreek-Ashburn-Beaumeade.227,low,0.683333,True,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D),high,0.915201,False
32,10017408419,PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,,low,0.316364,True,,low,0.482051,True
33,10000565661,CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,low,0.65,True,CONASTON230 KV  CNS-NOR2,medium,0.788184,True
34,10017304064,74 KEWAN B1Z1 DIS              138 KV,,low,0.388889,True,74 KEWAN B1Z5 DIS              138 KV,medium,0.829167,False
35,10004180282,4 QUAD C345 KV  TR2 18,4 QUAD C_345 KV_TR2 18:ACTUAL,low,0.669048,True,4 QUAD C345 KV  0403,low,0.572222,True
36,10004194634,FACEROCK69 KV   FAROZBR,,low,0.46,True,FACEROCK69 KV   FAROZBR,high,0.983333,False
37,10000569970,CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,low,0.522222,True,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B),high,0.858929,False
38,10000565918,GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:ACTUAL,low,0.637879,True,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),high,0.894524,False
39,10004212816,BENTONHA138 KV  BEN-WES1,BENTONHA_138 KV_BEN-WES1:ACTUAL,low,0.596429,True,BENTONHA138 KV  BEN-RIV2,low,0.503571,True
40,10000567660,177 BURN 345 KV BURNHAM-MUNSTER2 TIE,177 BURN_345 KV_BUR-SHE1:345L17703 Burnham-Munster 345 kV Tie Line,low,0.619444,True,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,medium,0.705,True
41,10000565661,CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,low,0.633333,True,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR2),medium,0.7875,True
42,10018993331,GRACETON_230KVGRA-MANO_1_LN,,low,0.379545,True,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO),low,0.533333,True
43,10017125044,ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],low,0.525,True,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),medium,0.741071,True
