market_constraint,match_source,matched_constraint,confidence,total_score,facility_score,contingency_score,voltage_match,zone_overlap,second_best_score,ambiguous
NEWLONDON- KOKOMO HIGHLANDPARK 230KV L/O DUMONT-SORENSON 765KV,pano,NEWLONDN 230KV - KOKOMOPS 230KV (KOKOMOPS 230 KV KOK-NEW1),medium,0.4769,0.1538,1.0,1.0,0.0,0.4269,True
NEWLONDON- KOKOMO HIGHLANDPARK 230KV L/O DUMONT-SORENSON 765KV,dayzer,08LAFYTE_230 KV_1P:L765.Dumont-Sorenson,low,0.3038,0.3077,0.0,1.0,0.0,0.3038,True
CANTONCE 138 KV CANTONCE-CLOVEROE,pano,CANTONCE 138KV - CLOVEROE 138KV (CANTONCE 138 KV CAN-CLO1),medium,0.63,0.8,0.0,1.0,0.8,0.63,True
CANTONCE 138 KV CANTONCE-CLOVEROE,dayzer,CANTONCE_138 KV_CAN-CLO1:ACTUAL,medium,0.5119,0.6667,0.0,1.0,0.2857,0.4227,False
MOREHEAD_69KVMOR-KUM1_1_LN,pano,RODBURN 69KV - MOREHEAD 69KV (MOREHEAD 69 KV MOR-KUM1),low,0.2222,0.4444,0.0,0.0,0.0,0.2222,True
MOREHEAD_69KVMOR-KUM1_1_LN,dayzer,MOREHEAD_69 KV_MOR-KUM1:ACTUAL,low,0.3,0.5,0.0,0.0,0.5,0.2,True
BRIGHTON230 KV  BRI-MTZ2,pano,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ2),medium,0.6944,0.5,1.0,1.0,0.4444,0.6119,False
BRIGHTON230 KV  BRI-MTZ2,dayzer,BRIGHTON_230 KV_BRI-MTZ2:ACTUAL,low,0.4357,0.5714,0.0,1.0,0.0,0.3722,False
16901   138 KV  16901 1,pano,02FAYET 138KV - 02LYONS 138KV (02LYONS 138 KV 02L-02F1),low,0.2,0.0,0.0,1.0,0.5,0.2,True
16901   138 KV  16901 1,dayzer,BERGEN_138 KV_REAC1339:ACTUAL,low,0.2,0.0,0.0,1.0,0.5,0.2,True
CHARLERO 138 KV CHARLERO-GORDEN,pano,CHARLERO 138KV - GORDON 138KV (CHARLERO 138 KV CHA-GOR),high,0.7615,0.6,1.0,1.0,0.6154,0.6462,False
CHARLERO 138 KV CHARLERO-GORDEN,dayzer,CHARLERO_138 KV_CHA-GOR:ACTUAL,medium,0.5033,0.6667,0.0,1.0,0.2,0.4449,False
TERMINAL345 KV  12,pano,TERMINAL345 KV  11,high,0.7659,1.0,0.2857,1.0,0.4444,0.67,False
TERMINAL345 KV  12,dayzer,12 DRESD345 KV 1222 345L8012-1 Pontiac-Cayuga Ridge South 345 kV Line,low,0.19,0.0,0.0,1.0,0.4,0.175,True
135_ELMH_T5_345TR81CT-P_XF,pano,135 ELMH 345KV - 135 ELMH 1KV (135 ELMH 345 KV TR83CT-P),low,0.2,0.4,0.0,0.0,0.0,0.2,True
135_ELMH_T5_345TR81CT-P_XF,dayzer,135 ELMH_345 KV_TR83CT-P:ACTUAL,low,0.3222,0.4444,0.0,0.0,1.0,0.3222,True
MALISZEW765 KV  1,pano,MALISZEW765 KV  1,high,0.7167,1.0,0.0,1.0,0.6667,0.7,True
MALISZEW765 KV  1,dayzer,KAMMER2 765 KV KAM-SCA1 Perry.U1 (for SA),low,0.19,0.0,0.0,1.0,0.4,0.1833,True
AEP-DOM CONTINGENCY 52,pano,AEP-DOM contingency 52,high,0.8167,1.0,1.0,0.0,0.6667,0.6917,False
AEP-DOM CONTINGENCY 52,dayzer,AEP-DOM contingency 17 Amos.U1U2U3,low,0.425,0.75,0.0,0.0,0.5,0.425,True
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,pano,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),high,0.8252,0.7273,1.0,1.0,0.6154,0.7418,False
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,dayzer,ALLDAM6_138 KV_ALL-KIT:500/230.Deans.500-1,medium,0.47,0.6,0.0,1.0,0.2,0.4682,True
PRESTON-TANYARD 6716-5 B 69 KV,pano,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),high,0.9278,0.8889,1.0,1.0,0.8333,0.8206,False
PRESTON-TANYARD 6716-5 B 69 KV,dayzer,PRESTON_69 KV_PRE-TAN:ACTUAL,medium,0.5472,0.75,0.0,1.0,0.2222,0.5083,True
NORTHEAS230 KV  NOR-RAP5,pano,RAPHAERD 230KV - NORTHEAS 230KV (NORTHEAS 230 KV NOR-RAP5),medium,0.6944,0.5,1.0,1.0,0.4444,0.6944,True
NORTHEAS230 KV  NOR-RAP5,dayzer,NORTHEAS_230 KV_NOR-RAP5:L500.Cabot-Keystone.5002,low,0.3722,0.4444,0.0,1.0,0.0,0.3722,True
11 FISK 138 KV  TR72 12,pano,11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR72 12),high,0.8333,0.6667,1.0,1.0,1.0,0.6667,False
11 FISK 138 KV  TR72 12,dayzer,11 FISK_138 KV_TR72 12:ACTUAL,medium,0.55,0.8,0.0,1.0,0.0,0.5214,True
CONASTON 230 KV CONASTON-OTTCRKPL,pano,OTTCRKPL 230KV - CONASTON 230KV (CONASTON 230 KV CNS-OTT),high,0.8769,0.8,1.0,1.0,0.7692,0.7936,False
CONASTON 230 KV CONASTON-OTTCRKPL,dayzer,CONASTON_230 KV_CNS-OTT:500/230.Conastone.500-4,medium,0.5056,0.6667,0.0,1.0,0.2222,0.5033,True
BROADFO2 138 KV BROADFO2-SALTVILL 2,pano,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL2),high,0.8667,0.8,1.0,1.0,0.6667,0.7667,False
BROADFO2 138 KV BROADFO2-SALTVILL 2,dayzer,BROADFO2_138 KV_BRO-SAL2:ACTUAL,medium,0.4833,0.6667,0.0,1.0,0.0,0.45,True
BELLEFON138 KV  BEL-NPR1,pano,BELLEFON138 KV  BEL-NPR1,high,0.7167,1.0,0.0,1.0,0.6667,0.7167,True
BELLEFON138 KV  BEL-NPR1,dayzer,BELLEFON_138 KV_BEL-NPR1:ACTUAL,medium,0.4757,0.5714,0.0,1.0,0.4,0.4,False
MOUN_UGI_69KVMOU-PLY2_1_LN,pano,PLYM UGI 69KV - MOUN UGI 69KV (MOUN UGI 69 KV MOU-PLY2),medium,0.5513,0.5455,1.0,0.0,0.2857,0.5122,True
MOUN_UGI_69KVMOU-PLY2_1_LN,dayzer,MOUN UGI_69 KV_MOU-PLY2:230/69.Mountain.T3(UGI) w/ 23030 closed,low,0.2808,0.4615,0.0,0.0,0.5,0.25,True
MITTAL 2-ROXANA 138 KV L/O MARKTOWN-CHICAGO 138 KV,pano,Mittal 2-Roxana 138 kV l/o Marktown-Chicago 138 kV,high,0.9,1.0,1.0,1.0,0.0,0.5227,False
MITTAL 2-ROXANA 138 KV L/O MARKTOWN-CHICAGO 138 KV,dayzer,MITCHYRD_138 KV_MIT-ROXA:Marktown - Chicago 138 kV,low,0.35,0.4,0.0,1.0,0.0,0.35,True
PLEASNTV TX3 XFORMER L 230 KV,pano,PLEASNTV TX3      XFORMER   L  230 KV,medium,0.6536,0.8571,0.0,1.0,0.75,0.5571,False
PLEASNTV TX3 XFORMER L 230 KV,dayzer,PLEASNTV_230 KV_274D:227 LINE: BRAMBLETON - BEAUMEADE,low,0.3,0.25,0.0,1.0,0.25,0.2929,True
HAVILAND_69KVHAV-PAU_1_LN,pano,HAVILAND 69KV - PAULDING 69KV (HAVILAND 69 KV HAV-PAU),medium,0.4722,0.4444,1.0,0.0,0.0,0.3222,False
HAVILAND_69KVHAV-PAU_1_LN,dayzer,HAVILAND_69 KV_HAV-PAU:L138.EastLima-Haviland,low,0.2222,0.4444,0.0,0.0,0.0,0.2222,True
BED-BLA CONTINGENCY 33,pano,BED-BLA contingency 2,medium,0.6333,1.0,0.3333,0.0,0.5,0.6333,True
BED-BLA CONTINGENCY 33,dayzer,BED-BLA contingency 45 MtStorm.U2,low,0.425,0.75,0.0,0.0,0.5,0.3833,True
LINE 138 KV BECKJORD-PIERC_DK 1889,pano,PIERC_DK 138KV - BECKJORD 138KV (BECKJORD 138 KV PIE-BEC4),medium,0.6333,0.8333,0.0,1.0,0.6667,0.6267,True
LINE 138 KV BECKJORD-PIERC_DK 1889,dayzer,BECKJORD_138 KV_PIE-BEC4:ACTUAL,medium,0.4786,0.6,0.0,1.0,0.2857,0.4,False
FRDRKSBG115 KV  FRE-TRIA,pano,FRDRKSBG 115KV - TRIAGLTP 115KV (FRDRKSBG 115 KV FRE-TRIA),high,0.7,0.5,1.0,1.0,0.5,0.5214,False
FRDRKSBG115 KV  FRE-TRIA,dayzer,FRDRKSBG_115 KV_FRE-TRIA:L500.Midlothian-NorthAnna.576,low,0.3972,0.4444,0.0,1.0,0.25,0.375,True
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,pano,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL),high,0.8667,0.8,1.0,1.0,0.6667,0.831,True
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,dayzer,ALLLUD4J_138 KV_ALJ-ALL:ACTUAL,medium,0.5083,0.6667,0.0,1.0,0.25,0.4786,True
LENOX   115 KV  LEN-MAC,pano,LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC),high,0.8103,0.6667,1.0,1.0,0.7692,0.7949,True
LENOX   115 KV  LEN-MAC,dayzer,LENOX_115 KV_LEN-MAC:ACTUAL,medium,0.5986,0.8571,0.0,1.0,0.2,0.5056,False
MUSEVILL138 KV  MUS-SMIT,pano,MUSEVILL 138KV - SMITHMOU 138KV (MUSEVILL 138 KV MUS-SMIT),high,0.7045,0.5,1.0,1.0,0.5455,0.575,False
MUSEVILL138 KV  MUS-SMIT,dayzer,MUSEVILL_138 KV_MUS-SMIT:ACTUAL,medium,0.4607,0.5714,0.0,1.0,0.25,0.4286,True
SHERWOOD115 KV  91C,pano,TRANSCO 115KV - SHERWOOD 115KV (SHERWOOD 115 KV 91C),medium,0.5889,0.3333,1.0,1.0,0.2222,0.425,False
SHERWOOD115 KV  91C,dayzer,SHERWOOD_115 KV_91C:2028LINE: BREMO-CHARLOTTSVIL,low,0.3179,0.2857,0.0,1.0,0.25,0.2929,True
HANOVER_69KVHAN-PLY_1_LN,pano,HANOVER 69KV - PLYM UGI 69KV (HANOVER 69 KV HAN-PLY),low,0.225,0.4,0.0,0.0,0.25,0.225,True
HANOVER_69KVHAN-PLY_1_LN,dayzer,HANOVER_69 KV_HAN-PLY:ACTUAL,low,0.3,0.5,0.0,0.0,0.5,0.2167,True
CHAUNCYT138 KV  CHA-LOG1,pano,LOGAN 138KV - CHAUNCYT 138KV (CHAUNCYT 138 KV CHA-LOG1),medium,0.6944,0.5,1.0,1.0,0.4444,0.4444,False
CHAUNCYT138 KV  CHA-LOG1,dayzer,CHAUNCYT_138 KV_CHA-LOG1:ACTUAL,low,0.4357,0.5714,0.0,1.0,0.0,0.3722,False
CEDARCRE230 KV  AT20,pano,CLAYMONT230 KV  AT20,medium,0.4667,0.5,0.0,1.0,0.6667,0.4667,True
CEDARCRE230 KV  AT20,dayzer,CEDARCRE_230 KV_AT20:ACTUAL,low,0.4167,0.4,0.0,1.0,0.6667,0.4167,True
JACK ME 230 KV JACK ME-TMI 1051,pano,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,0.9214,0.8889,1.0,1.0,0.7692,0.8857,True
JACK ME 230 KV JACK ME-TMI 1051,dayzer,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,medium,0.6344,0.8889,0.0,1.0,0.4,0.6308,True
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,pano,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),high,0.8252,0.7273,1.0,1.0,0.6154,0.6752,False
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,dayzer,ALLDAM6_138 KV_ALL-KIT:500/230.Deans.500-1,medium,0.47,0.6,0.0,1.0,0.2,0.4682,True
MUSKING2 138 KV MUSKING2-NMUSKING,pano,MUSKING2 138KV - NMUSKING 138KV (MUSKING2 138 KV MUS-NMU1),medium,0.6167,0.8,0.0,1.0,0.6667,0.4721,False
MUSKING2 138 KV MUSKING2-NMUSKING,dayzer,MUSKING2_138 KV_MUS-NMU1:ACTUAL,medium,0.5167,0.6667,0.0,1.0,0.3333,0.45,False
KEYSTONE_T5_2304TX-S_XF,pano,KEYSTONE 4 TX-S   XFORMER   H  230 KV,low,0.2,0.4,0.0,0.0,0.0,0.2,True
KEYSTONE_T5_2304TX-S_XF,dayzer,RIVERSIM_138 KV_T5_XF:ACTUAL,low,0.3222,0.4444,0.0,0.0,1.0,0.2889,True
SALTVILL138 KV  SAL-TAZ1,pano,SALTVILL 138KV - TAZEWELL 138KV (SALTVILL 138 KV SAL-TAZ1),medium,0.6944,0.5,1.0,1.0,0.4444,0.6944,True
SALTVILL138 KV  SAL-TAZ1,dayzer,SALTVILL_138 KV_SAL-TAZ1:L765.Culloden-Wyoming,low,0.3722,0.4444,0.0,1.0,0.0,0.3318,True
179 BLOO345 KV  TR84CT-P,pano,179 BLOO 345KV - 179 BLOO 1KV (179 BLOO 345 KV TR84CT-P),medium,0.69,0.5,1.0,1.0,0.4,0.6167,False
179 BLOO345 KV  TR84CT-P,dayzer,171 WEMP_345 KV_TR84CT-P:ACTUAL,low,0.4357,0.5714,0.0,1.0,0.0,0.4357,True
BLOOMSBU69 KV   BLO-COL2,pano,BLOOMSBU69 KV   BLO-COL2,high,0.9571,1.0,1.0,1.0,0.5714,0.9214,True
BLOOMSBU69 KV   BLO-COL2,dayzer,BLOOMFLD_69 KV_BLO-EAS:L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707,low,0.2333,0.1667,0.0,1.0,0.0,0.2167,True
TODD    69 KV   TOD-VIEN,pano,VIENNA 69KV - TODD 69KV (TODD 69 KV TOD-VIEN),high,0.8283,0.75,1.0,1.0,0.5333,0.69,False
TODD    69 KV   TOD-VIEN,dayzer,TODD_69 KV_TOD-VNL:L138.Steele-Easton.13712,low,0.3722,0.4444,0.0,1.0,0.0,0.35,True
SEWARD 230 KV 9 TX,pano,SEWARD  230 KV  9 TX,high,0.7357,1.0,0.0,1.0,0.8571,0.7357,True
SEWARD 230 KV 9 TX,dayzer,SEWARD_230 KV_9 TX:ACTUAL,medium,0.6167,0.8,0.0,1.0,0.6667,0.5233,False
TAZEWELL 138/345KV TR2 L/O MAPLERIDGE - TAZEWELL 345KV,pano,TAZEWEL2 138KV - TAZEWEL2 345KV (TAZEWEL2 345 KV TR2),medium,0.4722,0.4444,1.0,0.0,0.0,0.4556,True
TAZEWELL 138/345KV TR2 L/O MAPLERIDGE - TAZEWELL 345KV,dayzer,TAZEWELL 138/345KV L/O MAPLERIDGE-TAZEWELL 345KV:MAPLE RIDGE - TAZEWELL 345 KV,medium,0.5708,0.7273,0.0,1.0,0.5714,0.45,False
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,pano,NOTTINGHM 2-3 SER DEV       A  230 KV,high,0.8583,0.75,1.0,1.0,0.8333,0.7644,False
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,dayzer,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,low,0.4214,0.4286,0.0,1.0,0.5714,0.2929,False
BREMO4_230KV2193A_1_LN,pano,FRKUNION 230KV - BREMO4 230KV (BREMO4 230 KV 2193A),low,0.3929,0.2857,1.0,0.0,0.0,0.3929,True
BREMO4_230KV2193A_1_LN,dayzer,LORE 6_161 KV_LN 4361:345L17102,low,0.1667,0.3333,0.0,0.0,0.0,0.1667,True
LAUSCHTO230 KV  LAU-SAK4,pano,LAUSCHTO 230KV - SAKRON 230KV (LAUSCHTO 230 KV LAU-SAK4),medium,0.6944,0.5,1.0,1.0,0.4444,0.5694,False
LAUSCHTO230 KV  LAU-SAK4,dayzer,LAUSCHTO_230 KV_LAU-SAK4:500/230.Conastone.500-4,low,0.4357,0.5714,0.0,1.0,0.0,0.3722,False
FOURRIVR 230 KV FOURRIVR-HANOVER4 2032B,pano,FOURRIVR 230KV - HANOVER4 230KV (FOURRIVR 230 KV 2032B),high,0.825,0.75,1.0,1.0,0.5,0.7536,False
FOURRIVR 230 KV FOURRIVR-HANOVER4 2032B,dayzer,FOURRIVR_230 KV_2032B:500/230.Ladysmith.T1,low,0.4,0.5,0.0,1.0,0.0,0.3722,True
BENTONHA 345 KV BENTONHA . 1 XFORMER,pano,BENTONHA .  1     XFORMER   L  138 KV,medium,0.4857,0.8,0.0,0.0,0.8571,0.44,True
BENTONHA 345 KV BENTONHA . 1 XFORMER,dayzer,BENTONHA_345 KV_. 1:ACTUAL,low,0.39,0.4,0.0,1.0,0.4,0.3329,False
GARDNERS 115 KV GARDNERS-MOUN ME 974,pano,GARDNERS 115KV - MOUN ME 115KV (GARDNERS 115 KV GAR-MOU),medium,0.6524,0.8333,0.0,1.0,0.8571,0.6524,True
GARDNERS 115 KV GARDNERS-MOUN ME 974,dayzer,MOUN ME_115 KV_MOU-PPG:Mountain-Gardners (974) 115 kV line,medium,0.5033,0.6667,0.0,1.0,0.2,0.49,True
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,pano,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),high,0.8252,0.7273,1.0,1.0,0.6154,0.75,False
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,dayzer,ALLDAM6_138 KV_ALL-KIT:500/230.Deans.500-1,medium,0.47,0.6,0.0,1.0,0.2,0.4682,True
EASTON_T1_138AT-1_XF,pano,EASTON 138KV - EASTON 69KV (EASTON 138 KV AT-1),low,0.375,0.25,1.0,0.0,0.0,0.3333,True
EASTON_T1_138AT-1_XF,dayzer,SCADIZ_138 KV_T1_XF:ACTUAL,low,0.25,0.5,0.0,0.0,0.0,0.2222,True
02RDGVL 138 KV  02R-STRY,pano,02RDGVL 138KV - STRYKER 138KV (02RDGVL 138 KV 02R-STRY),high,0.825,0.75,1.0,1.0,0.5,0.575,False
02RDGVL 138 KV  02R-STRY,dayzer,02RDGVL_138 KV_02R-STRY:ACTUAL,medium,0.6071,0.8571,0.0,1.0,0.2857,0.5167,False
KLINE   138 KV  KLI-TWI1,pano,TWINBRAN 138KV - KLINE 138KV (KLINE 138 KV KLI-TWI1),medium,0.5917,0.75,0.0,1.0,0.6667,0.585,True
KLINE   138 KV  KLI-TWI1,dayzer,KLINE_138 KV_KLI-TWI1:ACTUAL,medium,0.6119,0.8571,0.0,1.0,0.3333,0.4833,False
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,pano,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A),high,0.8686,0.8571,1.0,1.0,0.4,0.7614,False
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,dayzer,IDYLWOO4_230 KV_202A:L500.Loudoun-Morrisville.569,low,0.4,0.5,0.0,1.0,0.0,0.4,True
COLLIER 345 KV COLLIER T1 XFORMER,pano,COLLIER 345 KV  T1,high,0.7738,0.8,0.6667,1.0,0.5714,0.7657,True
COLLIER 345 KV COLLIER T1 XFORMER,dayzer,COLLIER_345 KV_T1:ACTUAL,medium,0.4833,0.6667,0.0,1.0,0.0,0.4833,True
MAHANSLA 138 KV MAHANS LANE-TIDD,pano,MAHANS LANE-TIDD            B  138 KV,high,0.818,0.8571,0.6667,1.0,0.7273,0.7346,False
MAHANSLA 138 KV MAHANS LANE-TIDD,dayzer,CARNEGIE_138 KV_CAR-WEI:WEIRTON-MAHANS LANE 138 KV (APS),low,0.378,0.3636,0.0,1.0,0.4615,0.37,True
VIENNA 230 KV VIENNA AT20 TRANSFORMER,pano,VIENNA  230 KV  AT20,high,0.7595,0.8,0.5714,1.0,0.6667,0.7524,True
VIENNA 230 KV VIENNA AT20 TRANSFORMER,dayzer,PINEYGRO_230 KV_AT20:230/138.Vienna.AT20,medium,0.4833,0.6667,0.0,1.0,0.0,0.4833,True
MONROE-LALLENDORF 345 KV L/O LEMOYNE-MAJESTIC 345 KV,pano,MONROE 345KV - LALLENDO 345KV (LALLENDO 345 KV LAL-MON),medium,0.5364,0.2,1.0,1.0,0.3636,0.4182,False
MONROE-LALLENDORF 345 KV L/O LEMOYNE-MAJESTIC 345 KV,dayzer,BAYSHOR2_345 KV_2:Monroe-Lallendorf 345 kV,low,0.4,0.5,0.0,1.0,0.0,0.35,False
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,pano,SIEGFRIE 230KV - SIEGFRIE 138KV (SIEGFRIE 230 KV 4),medium,0.6333,0.3333,1.0,1.0,0.6667,0.6333,True
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,dayzer,SIEGFRIE_230 KV_4:ACTUAL,low,0.35,0.4,0.0,1.0,0.0,0.35,True
08WLDER1138 KV  08W-PIE1,pano,BECKJORD 138KV - 08WLDER1 138KV (08WLDER1 138 KV 08W-PIE1),medium,0.5333,0.5,1.0,0.0,0.3333,0.4333,False
08WLDER1138 KV  08W-PIE1,dayzer,08WLDER1_138 KV_08W-PIE1:ACTUAL,low,0.2857,0.5714,0.0,0.0,0.0,0.2222,True
UTICAJCT 115 KV UTICAJCT-WAYNE WAE 1010,pano,WAYNE 115KV - UTICAJCT 115KV (UTICAJCT 115 KV UTI-WAY),medium,0.5906,0.7273,0.0,1.0,0.7692,0.5906,True
UTICAJCT 115 KV UTICAJCT-WAYNE WAE 1010,dayzer,UTICAJCT_115 KV_UTI-WAY:L345.ErieWest-Wayne.3004,medium,0.5056,0.6667,0.0,1.0,0.2222,0.49,True
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,pano,LOCKWOOD 138KV - RICHLND 138KV (LOCKWOOD 138 KV LOC-RIC1),high,0.8303,0.7273,1.0,1.0,0.6667,0.747,False
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,dayzer,LOCKWOOD_138 KV_LOC-RIC1:ACTUAL,low,0.45,0.6,0.0,1.0,0.0,0.4227,True
POSSUMP4 200192       CB       230 KV,pano,POSSUMP4 200192       CB        230 KV,high,0.9667,1.0,1.0,1.0,0.6667,0.9667,True
POSSUMP4 200192       CB       230 KV,dayzer,POSSUMP4_230 KV_TGT5:ACTUAL,low,0.35,0.4,0.0,1.0,0.0,0.3194,True
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,pano,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),medium,0.6929,0.5,1.0,1.0,0.4286,0.6429,False
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,dayzer,ETOWANDA_230 KV_4 TX:L230.ETowanda-Hillside.2002 [NYISO],low,0.4182,0.5,0.0,1.0,0.1818,0.4182,True
155 NELS 345 KV 155 NELSON 45TR82 CT,pano,155 NELS 345KV - 155 NELS 1KV (155 NELS 345 KV TR82CT-P),high,0.7071,0.5,1.0,1.0,0.5714,0.6406,False
155 NELS 345 KV 155 NELSON 45TR82 CT,dayzer,155 NELS_345 KV_TR82CT-P:155 NELSON 345/138 TR 81 + TR 84,medium,0.5119,0.6667,0.0,1.0,0.2857,0.4857,True
WEBSTER2138 KV  BUF-WEB1,pano,BUFFINGT 138KV - WEBSTER2 138KV (WEBSTER2 138 KV BUF-WEB1),medium,0.55,0.5,1.0,0.0,0.5,0.4667,False
WEBSTER2138 KV  BUF-WEB1,dayzer,WEBSTER2_138 KV_BUF-WEB1:L345.Pierce-Foster,low,0.2222,0.4444,0.0,0.0,0.0,0.2222,True
KILMER 230 KV KILMER-SAYREVIL LN1-SC1,pano,SAYREVIL 230KV - KILMER 230KV (KILMER 230 KV KIL-SAYI),high,0.8406,0.7273,1.0,1.0,0.7692,0.6406,False
KILMER 230 KV KILMER-SAYREVIL LN1-SC1,dayzer,KILMER_230 KV_KIL-SAYI:ACTUAL,medium,0.47,0.6,0.0,1.0,0.2,0.4667,True
LINE 230 KV CEDARSUB-CEDARGRO CED-CEDY,pano,CEDARSUB 230KV - CEDARGRO 230KV (CEDARSUB 230 KV CED-CEDY),high,0.8714,0.8,1.0,1.0,0.7143,0.7571,False
LINE 230 KV CEDARSUB-CEDARGRO CED-CEDY,dayzer,CEDARSUB_230 KV_CED-CEDY:ACTUAL,medium,0.5015,0.6667,0.0,1.0,0.1818,0.4427,False
NELSON-VIENNA 13707         A  138 KV,pano,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE),high,0.7403,0.5714,1.0,1.0,0.5455,0.7,True
NELSON-VIENNA 13707         A  138 KV,dayzer,NELSON_138 KV_AT1:L138.Loretto-Vienna.13780,low,0.4357,0.5714,0.0,1.0,0.0,0.4,True
BAIR 115 KV BAIR-JACK ME 969-2,pano,JACK ME 115KV - BAIR 115KV (BAIR 115 KV BAI-JAC),high,0.9345,0.9091,1.0,1.0,0.8,0.7679,False
BAIR 115 KV BAIR-JACK ME 969-2,dayzer,BAIR_115 KV_BAI-JAC:ACTUAL,medium,0.5015,0.6667,0.0,1.0,0.1818,0.4843,True
GARDNERS_115KVGAR-TEX_1_LN,pano,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),medium,0.4722,0.4444,1.0,0.0,0.0,0.4722,True
GARDNERS_115KVGAR-TEX_1_LN,dayzer,GARDNERS_115 KV_GAR-TEX:ACTUAL,low,0.25,0.5,0.0,0.0,0.0,0.2222,True
BENTMOUN138 KV  BEN-CLE1,pano,BENTMOUN 138KV - CLEARBRO 138KV (BENTMOUN 138 KV BEN-CLE1),medium,0.6944,0.5,1.0,1.0,0.4444,0.5444,False
BENTMOUN138 KV  BEN-CLE1,dayzer,BENTMOUN_138 KV_BEN-CLE1:ACTUAL,low,0.4357,0.5714,0.0,1.0,0.0,0.4,True
YUKON TRAN 4 XFORMER H 500 KV,pano,YUKON    TRAN  4  XFORMER   H  500 KV,high,0.9889,1.0,1.0,1.0,0.8889,0.9264,False
YUKON TRAN 4 XFORMER H 500 KV,dayzer,YUKON_500 KV_TRAN 6:500/138.Yukon.TR5,low,0.4357,0.5714,0.0,1.0,0.0,0.4357,True
COOP_EK 161 KV  COO-ELIH,pano,ELIHU 161KV - COOP_EK 161KV (COOP_EK 161 KV COO-ELIH),medium,0.6167,0.8,0.0,1.0,0.6667,0.61,True
COOP_EK 161 KV  COO-ELIH,dayzer,COOP_EK_161 KV_COO-ELIH:ACTUAL,medium,0.6516,0.8889,0.0,1.0,0.5714,0.5167,False
YUKON TRAN 4 XFORMER H 500 KV,pano,YUKON    TRAN  4  XFORMER   H  500 KV,high,0.98,1.0,1.0,1.0,0.8,0.8967,False
YUKON TRAN 4 XFORMER H 500 KV,dayzer,YUKON_500 KV_TRAN 6:500/138.Yukon.TR5,low,0.4357,0.5714,0.0,1.0,0.0,0.4357,True
REDLION 230 KV  RED-SIL1,pano,REDLION 230KV - SILVERUN 230KV (REDLION 230 KV RED-SIL1),high,0.8417,0.75,1.0,1.0,0.6667,0.7167,False
REDLION 230 KV  RED-SIL1,dayzer,REDLION_230 KV_RED-SIL1:L230.RedLion-SilverRun.2,medium,0.525,0.75,0.0,1.0,0.0,0.3722,False
EMILIE 230 KV EMILIE EMIL7TR XFORMER,pano,EMILIE  230 KV  EMIL7TR,high,0.8214,0.8,0.8571,1.0,0.5714,0.7786,True
EMILIE 230 KV EMILIE EMIL7TR XFORMER,dayzer,EMILIE_230 KV_EMIL7TR:ACTUAL,medium,0.4833,0.6667,0.0,1.0,0.0,0.4,False
