market_constraint,match_source,matched_constraint,confidence,total_score,facility_score,contingency_score,voltage_match,zone_overlap,second_best_score,ambiguous
DOEX530 345 KV  203T,pano,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T),medium,0.5333,0.6667,0.0,1.0,0.5,0.45,False
DOEX530 345 KV  203T,dayzer,DOEX530_345 KV_203T:ACTUAL,medium,0.6167,0.8,0.0,1.0,0.6667,0.4167,False
DOEX530 345 KV  208T,pano,DOEX530 345 KV  208T,high,0.7,1.0,0.0,1.0,0.5,0.5333,False
DOEX530 345 KV  208T,dayzer,DOEX530_345 KV_208T:ACTUAL,medium,0.6167,0.8,0.0,1.0,0.6667,0.4167,False
BOONETWN230 KV  BOO-SRE,pano,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE),high,0.71,0.5,1.0,1.0,0.6,0.6545,False
BOONETWN230 KV  BOO-SRE,dayzer,BOONETWN_230 KV_BOO-SRE:500/230.Conastone.500-4,medium,0.469,0.5714,0.0,1.0,0.3333,0.4643,True
23 COLLI 345 KV 23 COLLINS 45TR92 CT,pano,23 COLLINS  45TR92 CT       H  345 KV,high,0.7477,0.5455,1.0,1.0,0.75,0.7071,True
23 COLLI 345 KV 23 COLLINS 45TR92 CT,dayzer,23 COLLI_345 KV_TR92CT-S:L765.Collins - Plano.2315,medium,0.4577,0.6154,0.0,1.0,0.0,0.4227,True
ALLENIM 345 KV  ALL-RPM,pano,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM),high,0.8417,0.75,1.0,1.0,0.6667,0.8417,True
ALLENIM 345 KV  ALL-RPM,dayzer,ALLENIM_345 KV_ALL-RPM:Perry.U1,medium,0.55,0.75,0.0,1.0,0.25,0.5083,True
94 HAURD138 KV 96101,pano,94 HAURD138 KV  11323,high,0.7,1.0,0.0,1.0,0.5,0.7,True
94 HAURD138 KV 96101,dayzer,BERGEN_138 KV_REAC1339:ACTUAL,low,0.2,0.0,0.0,1.0,0.5,0.2,True
PRESTON-TANYARD 6716-5 B 69 KV,pano,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),high,0.9278,0.8889,1.0,1.0,0.8333,0.8444,False
PRESTON-TANYARD 6716-5 B 69 KV,dayzer,PRESTON_69 KV_PRE-TAN:ACTUAL,medium,0.5472,0.75,0.0,1.0,0.2222,0.5083,True
TMI 500 KV TMI 1 BANK XFORMER,pano,TMI     500 KV  1 BANK,high,0.7595,0.8,0.5714,1.0,0.6667,0.7524,True
TMI 500 KV TMI 1 BANK XFORMER,dayzer,TMI_500 KV_1 BANK:500/230.Conastone.500-4,medium,0.5119,0.6667,0.0,1.0,0.2857,0.5083,True
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,pano,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,high,0.9,1.0,1.0,1.0,0.0,0.8722,True
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,dayzer,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138+Purdue-Lafaycin 138,low,0.3375,0.375,0.0,1.0,0.0,0.2929,True
LORETTO 138 KV LORETTO-VIENNA 13780,pano,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE),high,0.9278,0.8889,1.0,1.0,0.8333,0.8206,False
LORETTO 138 KV LORETTO-VIENNA 13780,dayzer,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,medium,0.6194,0.8889,0.0,1.0,0.25,0.5472,False
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,pano,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,high,0.9,1.0,1.0,1.0,0.0,0.8286,False
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,dayzer,DUNEACRE_138 KV_DUN-MIC1:Dumont-Wilton Center 765kV,low,0.4357,0.5714,0.0,1.0,0.0,0.4357,True
COOLSPRI230 KV  COL-MIL,pano,COOLSPRI-MILFORD  COL-MIL   A  230 KV,high,0.7584,0.5714,1.0,1.0,0.7273,0.7227,True
COOLSPRI230 KV  COL-MIL,dayzer,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,low,0.4008,0.4444,0.0,1.0,0.2857,0.354,True
945 CRET 345 KV CRETEIPP-STJOHNS,pano,Crete-StJohns 345 kV l/o Dumont-Wilton Ctr 765 kV,high,0.8408,0.8571,0.8889,1.0,0.4,0.6172,False
945 CRET 345 KV CRETEIPP-STJOHNS,dayzer,STILLWEL_345 KV_. 1:Wilton Ctr - Dumont 765 kV,low,0.4,0.5,0.0,1.0,0.0,0.3808,True
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,pano,4 QUAD C345 KV  0403,medium,0.5024,0.5714,0.0,1.0,0.6667,0.5024,True
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,dayzer,4 QUAD C_345 KV_TR1 18:ACTUAL,medium,0.4667,0.5,0.0,1.0,0.6667,0.3595,False
PLEASNTV-ASHBURN 274D A 230 KV,pano,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D),high,0.8952,0.8571,1.0,1.0,0.6667,0.8119,False
PLEASNTV-ASHBURN 274D A 230 KV,dayzer,PLEASNTV_230 KV_274D:L230.GooseCreek-Ashburn-Beaumeade.227,medium,0.4833,0.6667,0.0,1.0,0.0,0.4833,True
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,pano,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB),low,0.4308,0.0,1.0,1.0,0.3077,0.2929,False
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,dayzer,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,low,0.27,0.2,0.0,1.0,0.2,0.25,True
CONASTON 230 KV CONASTON-NORTHWES 2322,pano,CONASTON230 KV  CNS-NOR2,high,0.7694,0.75,0.8,1.0,0.4444,0.76,True
CONASTON 230 KV CONASTON-NORTHWES 2322,dayzer,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,medium,0.4833,0.6667,0.0,1.0,0.0,0.4833,True
74 KEWAN B1Z1 DIS              138 KV,pano,74 KEWAN B1Z5 DIS              138 KV,high,0.8083,0.6667,1.0,1.0,0.75,0.5873,False
