horizon,model,rows,mae,rmse,wmape,level
next_day,research_elasticnet_cyclical_kmeans,480,20.13075075356298,25.334366218868826,0.15365174621931846,bus
next_day,research_lightgbm_cyclical_kmeans,480,5.121938226181978,8.014969758097662,0.03909415809249179,bus
next_day,research_random_forest_cyclical_kmeans,480,6.423330394880361,10.55103790503921,0.04902727890276564,bus
next_day,research_ridge_cyclical_kmeans,480,21.399916041220308,27.40431817709481,0.16333888929096854,bus
next_month,research_elasticnet_cyclical_kmeans,13914,35.42116440832766,63.62376905417485,0.24401914984211195,bus
next_month,research_lightgbm_cyclical_kmeans,13914,24.24531706844259,39.361447162098564,0.16702787041362352,bus
next_month,research_random_forest_cyclical_kmeans,13914,17.037379974563322,26.102749743884818,0.11737183252938269,bus
next_month,research_ridge_cyclical_kmeans,13914,35.455770416348464,62.69607660914247,0.24425755331635463,bus
next_week,research_elasticnet_cyclical_kmeans,3285,30.53816028056573,49.10874687144937,0.21930036442819625,bus
next_week,research_lightgbm_cyclical_kmeans,3285,19.225519298525043,32.96533068381273,0.13806212783456373,bus
next_week,research_random_forest_cyclical_kmeans,3285,12.89110283883671,19.666056519455125,0.09257347281124016,bus
next_week,research_ridge_cyclical_kmeans,3285,30.59185920532731,47.884992519993766,0.21968598666808972,bus
next_day,research_elasticnet_cyclical_kmeans,96,47.68597572125324,71.89591602204976,0.07279443801613569,zone_aggregated
next_day,research_lightgbm_cyclical_kmeans,96,15.734691988176676,23.852610486791026,0.024019599962297078,zone_aggregated
next_day,research_random_forest_cyclical_kmeans,96,18.32681833833797,35.174665801228166,0.02797657846746185,zone_aggregated
next_day,research_ridge_cyclical_kmeans,96,47.748305767694966,71.4361292263885,0.07288958717967105,zone_aggregated
next_month,research_elasticnet_cyclical_kmeans,2880,160.21286483430254,279.46683828975364,0.22845409704113487,zone_aggregated
next_month,research_lightgbm_cyclical_kmeans,2880,56.03329119788252,97.40475604695852,0.0799001688041374,zone_aggregated
next_month,research_random_forest_cyclical_kmeans,2880,46.4137159604595,81.16378319046275,0.06618322180953994,zone_aggregated
next_month,research_ridge_cyclical_kmeans,2880,160.58991096772382,279.8745351696093,0.22899174259190072,zone_aggregated
next_week,research_elasticnet_cyclical_kmeans,672,139.2345938717869,240.63599021561615,0.20453966237384347,zone_aggregated
next_week,research_lightgbm_cyclical_kmeans,672,43.91847080889505,79.95911888912876,0.06451750920104585,zone_aggregated
next_week,research_random_forest_cyclical_kmeans,672,40.55736260618831,68.93101536869182,0.059579943630117024,zone_aggregated
next_week,research_ridge_cyclical_kmeans,672,138.98955367627772,239.7648815952245,0.20417969120961094,zone_aggregated
