fold_name,horizon,model,kmeans_cluster,rows,mae,wmape
validate_2022_2023_to_2024,next_day,baseline_historical_mean,1,24,21.63991734736744,0.1372975771222752
validate_2022_2023_to_2024,next_day,baseline_historical_mean,2,24,381.6640612941872,0.56562376321818
validate_2022_2023_to_2024,next_day,baseline_lag_168h,0,96,5.397802083333332,0.018295964803211454
validate_2022_2023_to_2024,next_day,baseline_lag_168h,1,24,5.835958333333331,0.03702707947037024
validate_2022_2023_to_2024,next_day,baseline_lag_168h,2,24,24.81129166666668,0.036770179815244795
validate_2022_2023_to_2024,next_day,direct_xgb_cyclical_kmeans,0,96,45.40921559588114,0.15391550069035334
validate_2022_2023_to_2024,next_day,direct_xgb_cyclical_kmeans,1,24,34.69350252278645,0.22011793121952916
validate_2022_2023_to_2024,next_day,direct_xgb_cyclical_kmeans,2,24,52.59020294189454,0.07793835341880334
validate_2022_2023_to_2024,next_day,research_lightgbm_cyclical_kmeans,0,96,18.572604738873746,0.06295223821851423
validate_2022_2023_to_2024,next_day,research_lightgbm_cyclical_kmeans,1,24,17.140615611783613,0.10875110824618876
validate_2022_2023_to_2024,next_day,research_lightgbm_cyclical_kmeans,2,24,116.49707739199302,0.17264794357357066
validate_2022_2023_to_2024,next_day,research_random_forest_cyclical_kmeans,0,96,27.951395222938498,0.0947418477566205
validate_2022_2023_to_2024,next_day,research_random_forest_cyclical_kmeans,1,24,12.31522264846484,0.0781357065377742
validate_2022_2023_to_2024,next_day,research_random_forest_cyclical_kmeans,2,24,118.43296474345625,0.17551691657875254
validate_2022_2023_to_2024,next_day,zone_allocated_hgb,0,96,121.00831970496164,0.4101602696871273
validate_2022_2023_to_2024,next_day,zone_allocated_hgb,1,24,137.32129147438053,0.8712547420624887
validate_2022_2023_to_2024,next_day,zone_allocated_hgb,2,24,229.36757412017607,0.3399213171765688
validate_2022_2023_to_2024,next_month,baseline_historical_mean,0,2972,92.97272515341979,0.27648685619476376
validate_2022_2023_to_2024,next_month,baseline_historical_mean,1,743,34.14005988628092,0.1739080760248453
validate_2022_2023_to_2024,next_month,baseline_historical_mean,2,743,527.1441959543125,0.6384252472161474
validate_2022_2023_to_2024,next_month,baseline_lag_168h,0,2972,11.160260479041915,0.007459692369578171
validate_2022_2023_to_2024,next_month,baseline_lag_168h,1,743,12.52254491017964,0.014337575806153168
validate_2022_2023_to_2024,next_month,baseline_lag_168h,2,743,53.058119760479045,0.014443090656566787
validate_2022_2023_to_2024,next_month,direct_xgb_cyclical_kmeans,0,2972,162.90998063848605,0.48446970135765743
validate_2022_2023_to_2024,next_month,direct_xgb_cyclical_kmeans,1,743,33.892877780508705,0.17264894043498977
validate_2022_2023_to_2024,next_month,direct_xgb_cyclical_kmeans,2,743,601.6472838438709,0.7286560657840142
validate_2022_2023_to_2024,next_month,research_lightgbm_cyclical_kmeans,0,2972,150.56844009981648,0.44776782197845044
validate_2022_2023_to_2024,next_month,research_lightgbm_cyclical_kmeans,1,743,33.056472662749194,0.16838832679542953
validate_2022_2023_to_2024,next_month,research_lightgbm_cyclical_kmeans,2,743,598.4494819877231,0.7247832024266486
validate_2022_2023_to_2024,next_month,research_random_forest_cyclical_kmeans,0,2972,163.88035042849756,0.4873554346965902
validate_2022_2023_to_2024,next_month,research_random_forest_cyclical_kmeans,1,743,33.03161143502256,0.16826168471290373
validate_2022_2023_to_2024,next_month,research_random_forest_cyclical_kmeans,2,743,619.3165567804768,0.7500553527898411
validate_2022_2023_to_2024,next_month,zone_allocated_hgb,0,2972,140.0266225852311,0.41641804731736637
validate_2022_2023_to_2024,next_month,zone_allocated_hgb,1,743,47.67768070491204,0.2428681656780008
validate_2022_2023_to_2024,next_month,zone_allocated_hgb,2,743,510.46958265934813,0.6182305942221988
validate_2022_2023_to_2024,next_week,baseline_historical_mean,0,668,82.69326573415078,0.2529796336148333
validate_2022_2023_to_2024,next_week,baseline_historical_mean,1,167,14.821055858418987,0.08364038313794407
validate_2022_2023_to_2024,next_week,baseline_historical_mean,2,167,445.1747076437665,0.5981417436207994
validate_2022_2023_to_2024,next_week,baseline_lag_168h,0,668,11.160260479041915,0.034142062016401284
validate_2022_2023_to_2024,next_week,baseline_lag_168h,1,167,12.52254491017964,0.07066908485838912
validate_2022_2023_to_2024,next_week,baseline_lag_168h,2,167,53.058119760479045,0.07128948640130253
validate_2022_2023_to_2024,next_week,direct_xgb_cyclical_kmeans,0,668,134.9448937431838,0.4128305911522945
validate_2022_2023_to_2024,next_week,direct_xgb_cyclical_kmeans,1,167,14.416651471714774,0.08135818825454838
validate_2022_2023_to_2024,next_week,direct_xgb_cyclical_kmeans,2,167,452.96340724045075,0.6086067279905478
validate_2022_2023_to_2024,next_week,research_lightgbm_cyclical_kmeans,0,668,124.19848933248382,0.37995461961628374
validate_2022_2023_to_2024,next_week,research_lightgbm_cyclical_kmeans,1,167,12.406328828522911,0.07001323700993521
validate_2022_2023_to_2024,next_week,research_lightgbm_cyclical_kmeans,2,167,484.50406882259256,0.6509851155983012
validate_2022_2023_to_2024,next_week,research_random_forest_cyclical_kmeans,0,668,138.26136615252298,0.4229765198148002
validate_2022_2023_to_2024,next_week,research_random_forest_cyclical_kmeans,1,167,11.468918185394603,0.0647231020763771
validate_2022_2023_to_2024,next_week,research_random_forest_cyclical_kmeans,2,167,489.4632672042382,0.6576483503149794
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,0,668,126.171665567517,0.38599106522723564
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,1,167,38.495725259809646,0.21724479285829895
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,2,167,426.66361566412286,0.5732700322613814
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,0,72,51.280240318736375,0.17687736960095513
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,1,24,30.532432380142257,0.21379527189341146
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,2,24,141.36571121349527,0.26909332426439714
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,0,72,6.786972222222214,0.023409831677071894
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,1,24,12.315166666666665,0.08623369318014387
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,2,24,44.940999999999995,0.0855463675169612
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,0,72,25.53461469692654,0.08807477214017763
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,1,24,12.660196512858073,0.08864967330447258
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,2,24,53.00662516276041,0.10089949571676878
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,0,72,17.530561224239374,0.06046694667768607
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,1,24,9.52316352297282,0.06668343056754215
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,2,24,116.49558407912605,0.22175238756894533
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,0,72,18.228737940065493,0.06287511910910186
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,1,24,6.50748938411104,0.04556697104565982
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,2,24,105.20938048664304,0.20026880419532658
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,0,72,84.38755350872005,0.2910721244461215
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,1,24,50.88384275109993,0.3563006333890492
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,2,24,155.49620835000067,0.2959910947020122
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,0,2232,94.27477033555543,0.2690862320583418
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,1,744,32.813736877557965,0.17435532392671946
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,2,744,293.9536220067336,0.43104426421637193
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,0,2232,29.379875,0.0189357401047104
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,1,744,23.970714285714287,0.02876052724548034
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,2,744,87.40582142857143,0.028941414909859915
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,0,2232,187.7710930462362,0.5359505595977258
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,1,744,31.137504509546424,0.16544868709374763
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,2,744,467.14233885209285,0.6850027033523095
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,0,2232,191.90951056482822,0.5477627461753065
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,1,744,30.50721640400182,0.16209966021456437
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,2,744,476.890278915383,0.6992967733607749
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,0,2232,178.33899898997976,0.5090287581339388
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,1,744,31.46496006140658,0.16718861750853764
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,2,744,478.745983259352,0.7020179193296138
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,0,2232,138.99313628455974,0.3967247991340696
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,1,744,44.015619176771985,0.2338763661096419
