bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
CTZ_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,585.354,623.327,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,88.576,94.322,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 03:00:00,2022-04-01,4,180.181,191.87,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,85.651,91.208,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,53.689,57.172,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,62.881,66.96,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,96.41,102.664,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,79.489,84.645,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,47.526,50.609,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,86.383,91.986,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,70.715,75.302,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,65.074,69.296,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,141.116,150.27,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,58.361,62.641,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,93.46,49.936,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,581.862,624.531,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,88.417,94.9,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 04:00:00,2022-04-01,5,177.554,190.574,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,84.402,90.592,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,53.318,57.228,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,64.022,68.717,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,97.063,104.181,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,77.506,83.19,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,48.48,52.035,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,84.814,91.034,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,72.771,78.108,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,65.052,69.822,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,139.058,149.256,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,62.174,67.481,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,91.196,49.325,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,575.793,624.933,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,87.669,95.151,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 05:00:00,2022-04-01,6,173.826,188.661,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,82.227,89.245,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,58.244,63.215,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,69.127,75.027,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,98.552,106.963,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,75.98,82.464,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,53.307,57.856,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,82.933,90.011,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,78.801,85.526,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,70.538,76.558,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,136.441,148.085,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,72.345,79.76,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,90.481,49.658,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,574.173,633.025,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,86.495,95.36,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 06:00:00,2022-04-01,7,171.893,189.512,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,81.114,89.428,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,66.067,72.839,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,77.327,85.253,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,103.734,114.366,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,75.234,82.946,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,60.686,66.906,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,81.512,89.867,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,89.683,98.876,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,79.519,87.67,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,134.724,148.534,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,78.016,86.891,baseline_lag_168h,next_day
