fold_name,horizon,model,zone_name,rows,mae,wmape
validate_2022_2023_to_2024,next_month,direct_xgb_cyclical_kmeans,COAS,2972,162.90998063848605,0.48446970135765743
validate_2022_2023_to_2024,next_month,direct_xgb_cyclical_kmeans,SCEN,1486,317.7700808121898,0.6218559592743098
validate_2022_2023_to_2024,next_month,research_lightgbm_cyclical_kmeans,COAS,2972,150.56844009981648,0.44776782197845044
validate_2022_2023_to_2024,next_month,research_lightgbm_cyclical_kmeans,SCEN,1486,315.75297732523615,0.6179086152681368
validate_2022_2023_to_2024,next_month,research_random_forest_cyclical_kmeans,COAS,2972,163.88035042849756,0.4873554346965902
validate_2022_2023_to_2024,next_month,research_random_forest_cyclical_kmeans,SCEN,1486,326.1740841077497,0.6383020624371611
validate_2022_2023_to_2024,next_month,zone_allocated_hgb,COAS,2972,140.0266225852311,0.41641804731736637
validate_2022_2023_to_2024,next_month,zone_allocated_hgb,SCEN,1486,279.0736316821301,0.5461294546493982
validate_2022_2023_to_2024,next_week,baseline_historical_mean,COAS,668,82.69326573415078,0.2529796336148333
validate_2022_2023_to_2024,next_week,baseline_historical_mean,SCEN,334,229.99788175109273,0.4992017410231431
validate_2022_2023_to_2024,next_week,baseline_lag_168h,COAS,668,11.160260479041915,0.034142062016401284
validate_2022_2023_to_2024,next_week,baseline_lag_168h,SCEN,334,32.79033233532934,0.07117018150731773
validate_2022_2023_to_2024,next_week,direct_xgb_cyclical_kmeans,COAS,668,134.9448937431838,0.4128305911522945
validate_2022_2023_to_2024,next_week,direct_xgb_cyclical_kmeans,SCEN,334,233.69002935608273,0.5072154083599584
validate_2022_2023_to_2024,next_week,research_lightgbm_cyclical_kmeans,COAS,668,124.19848933248382,0.37995461961628374
validate_2022_2023_to_2024,next_week,research_lightgbm_cyclical_kmeans,SCEN,334,248.45519882555772,0.5392626526630188
validate_2022_2023_to_2024,next_week,research_random_forest_cyclical_kmeans,COAS,668,138.26136615252298,0.4229765198148002
validate_2022_2023_to_2024,next_week,research_random_forest_cyclical_kmeans,SCEN,334,250.46609269481638,0.5436272220795018
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,COAS,668,126.171665567517,0.38599106522723564
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,SCEN,334,232.5796704619663,0.5048054161944507
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,COAS,72,51.280240318736375,0.17687736960095513
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,SCEN,48,85.94907179681877,0.2572738645037931
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,COAS,72,6.786972222222214,0.023409831677071894
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,SCEN,48,28.628083333333326,0.08569327717598348
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,COAS,72,25.53461469692654,0.08807477214017763
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,SCEN,48,32.83341083780925,0.09828120670171754
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,COAS,72,17.530561224239374,0.06046694667768607
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,SCEN,48,63.009373801049435,0.1886077971392362
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,COAS,72,18.228737940065493,0.06287511910910186
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,SCEN,48,55.85843493537704,0.1672026831765046
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,COAS,72,84.38755350872005,0.2910721244461215
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,SCEN,48,103.19002555055032,0.3088817144459011
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,COAS,2232,94.27477033555543,0.2690862320583418
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,SCEN,1488,163.38367944214576,0.3755267685339646
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,COAS,2232,29.379875,0.0189357401047104
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,SCEN,1488,55.688267857142854,0.02890229195382269
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,COAS,2232,187.7710930462362,0.5359505595977258
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,SCEN,1488,249.13992168081958,0.5726319178332153
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,COAS,2232,191.90951056482822,0.5477627461753065
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,SCEN,1488,253.6987476596924,0.5831100830575516
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,COAS,2232,178.33899898997976,0.5090287581339388
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,SCEN,1488,255.10547166037924,0.586343346747051
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,COAS,2232,138.99313628455974,0.3967247991340696
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,SCEN,1488,154.88479639700128,0.3559926382157565
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,COAS,504,75.63984469162016,0.23113457994377407
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,SCEN,336,115.96856434408024,0.30709977722934406
holdout_2022_2024_to_2025,next_week,baseline_lag_168h,COAS,504,29.379875,0.0897768245639709
holdout_2022_2024_to_2025,next_week,baseline_lag_168h,SCEN,336,55.688267857142854,0.14746974535681226
holdout_2022_2024_to_2025,next_week,direct_xgb_cyclical_kmeans,COAS,504,150.74684591529484,0.4606409366721056
holdout_2022_2024_to_2025,next_week,direct_xgb_cyclical_kmeans,SCEN,336,181.83829152352467,0.4815313454511132
holdout_2022_2024_to_2025,next_week,research_lightgbm_cyclical_kmeans,COAS,504,158.2083293837149,0.48344117977495465
holdout_2022_2024_to_2025,next_week,research_lightgbm_cyclical_kmeans,SCEN,336,190.44745340604382,0.5043295210705732
holdout_2022_2024_to_2025,next_week,research_random_forest_cyclical_kmeans,COAS,504,150.65658727429158,0.46036513106780225
holdout_2022_2024_to_2025,next_week,research_random_forest_cyclical_kmeans,SCEN,336,195.5757931188799,0.5179100287907135
holdout_2022_2024_to_2025,next_week,zone_allocated_hgb,COAS,504,113.74106444977899,0.3475614375087408
holdout_2022_2024_to_2025,next_week,zone_allocated_hgb,SCEN,336,122.30508658001298,0.3238797087398359
