model,status,runtime_seconds,rows,mae,rmse,wmape
research_tcn_lightweight,completed,3.2,4,156.37913513183594,157.54335021972656,0.5456364750862122
research_gru_lightweight,completed,0.696,4,139.15719604492188,151.7188262939453,0.4855458736419678
research_lstm_lightweight,completed,0.64,4,161.0047149658203,169.5028839111328,0.5617759823799133
