bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
CHEROKEE_138KV_1,COAS,2022-04-01 19:00:00,2022-04-01,20,92.113,94.02867373093544,zone_allocated_hgb,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 20:00:00,2022-04-01,21,93.124,94.59924145503271,zone_allocated_hgb,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 21:00:00,2022-04-01,22,93.945,95.72797944439462,zone_allocated_hgb,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 22:00:00,2022-04-01,23,94.642,93.30020235771588,zone_allocated_hgb,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 23:00:00,2022-04-01,24,95.159,92.87754756779084,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,601.703,647.4833497092708,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,594.245,648.549873017229,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,593.82,649.7705032668263,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,585.354,644.7055794742496,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,581.862,634.86838105286,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,575.793,625.6402462628279,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,574.173,623.4349820815736,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,583.058,618.6879603895743,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,588.021,621.6485330229938,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,604.804,633.7869246588042,zone_allocated_hgb,next_day
