bus_id,zone_name,timestamp,date,he,actual_pd,p10,p50,p90,interval_width,covered_p10_p90,peak_load_flag
BI_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,60.062,58.869868341885514,66.3533654152581,76.59124360267323,17.721375260787717,True,False
CHEROKEE_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,96.989,77.23474453863248,88.08888341998725,100.96570702564038,23.7309624870079,True,False
CTZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,601.703,412.28775188819645,574.4303740435604,656.7540285541761,244.46627666597965,True,True
CVN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,91.342,87.01947575360704,90.98384049052711,100.57278847213371,13.55331271852667,True,False
DOWGEN_138KV_16,COAS,2022-04-01 00:00:00,2022-04-01,1,187.353,144.80666514234153,158.43835758087164,204.06487744131596,59.25821229897443,True,False
DUN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,88.843,84.6607365304118,88.48488048986941,95.71759200750358,11.056855477091787,True,False
FL_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,61.256,60.443773943594636,66.38119330134587,77.8811048506969,17.437330907102265,True,False
FZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,71.9,70.86511024158774,75.13285734072727,89.68949339098148,18.82438314939374,True,False
GN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,100.899,95.06118433338399,101.47810515407626,104.9821088692287,9.920924535844705,True,False
HAT_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,82.653,78.7194909784739,81.39605701990104,90.06665686666831,11.34716588819441,True,False
MAR_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,55.066,54.74864261114069,59.31159844935132,76.43267185678513,21.684029245644446,True,False
RNG_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,89.712,84.42458546934672,87.96561183910784,95.14276496840665,10.718179499059929,True,False
SPW_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,77.439,76.13798042978088,78.06206397460745,92.46880934894877,16.330828919167885,True,False
WF_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,72.335,71.33270468265842,73.42815394722409,88.19040570567434,16.85770102301592,True,False
WIN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,147.276,116.68761736767138,130.6758049096605,145.78872159479215,29.10110422712077,False,False
BI_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,57.365,55.266366923655546,60.823399545431855,75.7837515085566,20.51738458490106,True,False
CHEROKEE_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,96.83,73.95831766456499,85.68566136453596,99.82279800512724,25.864480340562253,True,False
CTZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,594.245,411.10752471448023,562.2360880243665,639.4276181104233,228.32009339594305,True,True
CVN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,91.008,86.25360094223025,89.72655274307955,98.14091933290085,11.8873183906706,True,False
DOWGEN_138KV_16,COAS,2022-04-01 01:00:00,2022-04-01,2,186.005,142.86683032369592,156.23202359947823,203.03986690277597,60.17303657908005,True,False
DUN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,88.42,83.80703318792013,87.22680755456396,94.3040358087627,10.49700262084258,True,False
FL_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,57.257,56.06881317764328,60.56637769078414,76.46558840307686,20.396775225433586,True,False
FZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,67.285,66.00959482024355,69.05841082646096,86.42458880271803,20.414993982474485,True,False
GN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,99.634,94.12967041555801,98.70304083231483,103.18626816344378,9.056597747885775,True,False
HAT_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,82.058,76.43852358049568,79.45606124210437,88.3974736208595,11.958950040363817,True,False
MAR_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,52.189,50.35659722020551,54.534560342874755,74.88525543741714,24.528658217211635,True,False
RNG_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,89.067,80.70811927712725,84.91818719192432,92.21055824068196,11.50243896355471,True,False
SPW_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,73.324,68.34585197711212,73.00493233588712,88.28574629497653,19.939894317864415,True,False
WF_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,69.226,65.59964625090234,68.94941241110014,84.51008778738881,18.910441536486474,True,False
WIN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,145.893,115.2374965139511,128.80789401372084,141.57477293549834,26.337276421547244,False,False
BI_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,55.704,52.773179786610186,57.570565425679874,74.38321646643706,21.610036679826877,True,False
CHEROKEE_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,95.143,68.60810200426847,83.52884659329153,94.41564581058007,25.8075438063116,False,False
