bus_id,kmeans_cluster,kmeans_confidence,zone,average_pd,gmm_cluster,cluster_confidence
CHEROKEE_138KV_1,1,0.42150268991023687,COAS,96.66034182491894,,0.42150268991023687
CTZ_138KV_1,3,0.3886387422947043,COAS,693.7709883666822,,0.3886387422947043
CVN_138KV_1,0,0.26839796609597233,COAS,115.74622973598888,,0.26839796609597233
DESSAU_138KV_1,1,0.39635299915599886,SCEN,175.94100416859658,,0.39635299915599886
DOWGEN_138KV_16,1,0.0,COAS,242.97456692913386,,0.0
DRIVER_138KV_1,1,0.17238697180763585,FWES,88.86124177860121,,0.17238697180763585
GN_138KV_1,2,0.6229840863470297,COAS,114.58443029180177,,0.6229840863470297
HAT_138KV_1,0,0.47498307595806555,COAS,84.97694858730894,,0.47498307595806555
RNG_138KV_1,0,0.46093049816425846,COAS,93.06247105141269,,0.46093049816425846
SNDSW_138KV_1,1,0.4339001574298994,SCEN,197.57412876331634,,0.4339001574298994
SPW_138KV_1,2,0.6229840863470297,COAS,97.51965956461325,,0.6229840863470297
WIN_138KV_1,3,0.3886387422947041,COAS,142.21465863825844,,0.3886387422947041
