zone_name,avg_load_bus_count,max_load_bus_count,avg_gen_bus_count,max_gen_bus_count
NCEN,1259.7191364194534,1346,154.87294742553618,210
COAS,854.9064168832282,911,285.7089699288917,349
FWES,564.1492703543993,612,145.68812291172858,169
SCEN,523.340091955336,560,85.50572579033042,118
SOUT,499.86358054659166,528,138.11568666647628,180
WEST,372.77082559899475,392,105.61521546677328,122
NOTH,333.62940857297883,362,122.14104577776509,146
EAST,252.93965788045807,269,42.9550789616472,60
ISOLATED,0.0,0,0.0,0
