dataset,file,scope,column,row_count,missing_count,missing_percent
bus_sample_file,bus_load_2023.parquet,first_200k_rows,bus_unique_id,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,bus_type,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,base_kv,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,zone_name,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,pd,200000,99361,49.681
bus_sample_file,bus_load_2023.parquet,first_200k_rows,pg,200000,178178,89.089
bus_sample_file,bus_load_2023.parquet,first_200k_rows,date,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,he,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,interval_start_hour,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,timestamp,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,year,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,month,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,day_of_week,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,day_name,200000,0,0.0
bus_sample_file,bus_load_2023.parquet,first_200k_rows,is_weekend,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,id,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,bus_unique_id,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,bus_type,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,base_kv,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,zone_name,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,pd,200000,99286,49.643
bus_sample_file,bus_load_2024.parquet,first_200k_rows,pg,200000,176432,88.216
bus_sample_file,bus_load_2024.parquet,first_200k_rows,date,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,he,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,interval_start_hour,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,timestamp,200000,0,0.0
bus_sample_file,bus_load_2024.parquet,first_200k_rows,year,200000,0,0.0
